"folio","con_ex_p","dis_ex_p","res_ex_p","con_re_p","dis_re_p","res_re_p","totl_tom","tom_mun","tom_loc","t_cm_dom","t_cms_do","t_sm_dom","t_cm_ind","t_cms_in","t_sm_ind","t_cm_com","t_cms_co","t_sm_com","t_cm_pub","t_cms_pu","t_sm_pub","t_cm_mix","t_cms_mx","t_sm_mix","t_cm_tot","t_cms_to","t_sm_tot","factu_ag","fac_cufi","razcufij","c_fija_e","fac_srvm","aj_tarif","ajutarec","ajtarcnf","aj_cnf_e","esq_agua","boni_tar","fon_soli","fom_ahor","otro_esq","oesq_esp","el_capta","desin_ag","el_siste","el_potab","quim_pot","el_trata","quim_tra","remu_agu","remu_dre","remu_tra","der_expl","der_cuer","reha_man","dep_acti","otr_gast","total","ing_agua","agua_tra","saneamie","conexion","der_alca","vnt_lodo","agua_pip","otro_ing","sub_fede","sub_esta","sub_muni","multas","ej_anter","total_in"
"13028","12","15","","","0.1","","15434","13705","1729","593","","9265","","","","585","","457","41","","37","38","","4418","1257","","14177","1","1","1","","1","1","0","5","","2","NA","NA","NA","NA","","6082470","167165","","","","","","","","","","","366242","","1657392","8273269","10547178","","1514755.71","343004.19","1576304","","","","","","","380418","1031018","15392677.9"
"13029","NSS","NSS","NSS","50","","","10873","4673","6200","9695","","630","31","NA","NA","476","NA","NA","41","NA","NA","NA","NA","NA","10243","NA","630","1","1","1","","1","2","1","0","","2","NA","NA","NA","NA","","5260897","283008.82","719146","","","","","","","","270248","228","313156.91","NA","14866010.82","21712695.55","16233527.51","NA","1256785.43","896058.76","1601007.02","NA","NA","NA","1376843","NA","NA","984729.26","713405.21","23062356.19"
"13030","2.5","60.5","","","0.9","","7016","6771","245","1806","NA","4284","4","NA","NA","535","NA","185","65","NA","137","NA","NA","NA","2410","NA","4606","1","1","1","","1","1","0","1","","2","NA","NA","NA","","","3490849.99","9612.28","","","","","","800.21","120.04","","","","556564.11","NA","5655947.72","9713894.35","4538956.25","","","298499.87","85630.3","","","119171.58","","","","4189536.27","821875.16","10053669.43"
"13031","55840","325","NA","NSS","NSS","NSS","3357","1790","1567","748","942","1567","3","","","69","","","28","","","","","","848","942","1567","1","1","1","","1","1","0","3","LAS CUOTAS Y TARIFAS SON MODIFICADAS POR EL CONGRESO DEL ESTADO","2","NA","NA","NA","NA","","9119031.68","","","","","","","","","","141852","","1001651.49","","","10262535.17","1663360.14","","","74413.45","","","27681.03","","","","10782022.29","16777.67","","12564254.58"
"13032","50","25","","1.5","0.5","","3800","2800","1000","","3000","800","","","","","","","","","","","","","","3000","800","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13033","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","","","67","","","","","","","","","","","","","","","67","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13034","20","NSS","","10","","","430","385","45","","385","45","","","","","","","","","","","","","","385","45","1","1","1","","2","2","1","0","","2","NA","NA","NA","NA","","","28542","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","28542","18540","","","","","","","","","","","","","18540"
"13035","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","1","1","","2","2","7","0","","2","NA","NA","NA","NA","","6677809.27","441264","","","","","","","","","","","","","","7119073.27","390128.5","","","","","","","","","","","","","390128.5"
"13036","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","","629","","","2","","","117","","","","","","6","","","754","","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13037","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
