"folio","con_ex_p","dis_ex_p","res_ex_p","con_re_p","dis_re_p","res_re_p","totl_tom","tom_mun","tom_loc","t_cm_dom","t_cms_do","t_sm_dom","t_cm_ind","t_cms_in","t_sm_ind","t_cm_com","t_cms_co","t_sm_com","t_cm_pub","t_cms_pu","t_sm_pub","t_cm_mix","t_cms_mx","t_sm_mix","t_cm_tot","t_cms_to","t_sm_tot","factu_ag","fac_cufi","razcufij","c_fija_e","fac_srvm","aj_tarif","ajutarec","ajtarcnf","aj_cnf_e","esq_agua","boni_tar","fon_soli","fom_ahor","otro_esq","oesq_esp","el_capta","desin_ag","el_siste","el_potab","quim_pot","el_trata","quim_tra","remu_agu","remu_dre","remu_tra","der_expl","der_cuer","reha_man","dep_acti","otr_gast","total","ing_agua","agua_tra","saneamie","conexion","der_alca","vnt_lodo","agua_pip","otro_ing","sub_fede","sub_esta","sub_muni","multas","ej_anter","total_in"
"1001","306.26","2468.87","NA","2117.01","4597.56","NA","329552","NSS","NSS","256315","13619","36971","268","NA","56","14037","NA","6677","1609","NA","NA","NA","NA","NA","272229","13619","43704","1","1","1","","1","2","1","0","","1","4541","NA","NA","","","248465852","15976577","NA","NA","NA","NA","NA","NA","NA","NA","166880227","NA","NA","NA","643422089","1074744745","864471577","53520.6","NA","25097725.83","NA","NA","NA","NA","NA","NA","NA","NA","NA","889622823.43"
"1002","300","300","2","NSS","NSS","NSS","14473","1350","13123","","","14423","","","","","","50","","","","","","","","","14473","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","","145321","624421","","135665","","","","","","","","","","","905407","97341","","81171","651762","84243","","","","","","","","","914517"
"1003","74.86","236.76","","","","","16871","8670","8201","12749","","2592","6","","","1341","","183","","","","","","","14096","","2775","1","1","1","","1","1","1","4","","2","NSS","NA","NA","","","11935031","","","","","","","14876199","","","1585962","26074","","862499","7610817","36896582","35240247","","","","2354701","887601","17964","45870","2220575","","","314296","1464280","42545534"
"1004","2","368","2","","","","4333","1630","2703","NA","NA","4300","NA","NA","1","NA","NA","32","NA","NA","","NA","NA","","NA","NA","4333","1","1","1","","2","1","0","1","","2","NA","NA","NA","","","5460000","50000","","","","","","","","","","","140000","","","5650000","1039000","","","3092000","3092000","","","","","","","","","7223000"
"1005","NSS","NSS","","NSS","NSS","","35095","21111","13984","18800","2335","11346","234","38","64","1610","235","422","9","2","NA","NA","NA","NA","20653","2610","11832","1","1","1","","1","1","0","3","","2","NA","NA","NA","","","35878290","354934.24","193129","","","199518","","","","","1833177","","5595571.46","","18868462.1","62923081.8","77500668.44","NSS","12273065.97","9501956.07","NSS","NSS","79860.03","NSS","978460.64","","3018328.25","3589099.91","3589099.91","110530539.22"
"1006","178","176","","2.5","1.5","","12504","9700","2804","78","5","12072","2","1","115","NA","1","230","NA","NA","NA","NA","NA","NA","80","7","12417","1","1","1","","1","1","0","1","","2","NA","NA","NA","","","307197","","19256946","","","105245","","11961607.63","610541","","1024012","","2028164.39","","","35293713.02","11961607.63","","","688272.25","","","147113.68","","","","3744120","797672.97","","17338786.53"
"1007","NSS","NSS","NSS","NSS","NSS","NSS","16770","10526","6244","10578","NSS","5658","13","NSS","1","252","NSS","139","36","NSS","1","68","NSS","24","10947","NSS","5823","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","19454097.08","NA","NA","NA","NA","NA","NA","NA","NA","NA","1023909","NA","5145473.69","NA","NA","25623479.77","20385590.27","NA","410493.94","899695.6","NA","NA","185083","477788.15","NA","NA","7163323.14","1844402.3","476517.62","31842894.02"
"1008","27","71","3","1","3","","2845","1705","1140","NA","NA","2820","NA","NA","21","NA","NA","4","NA","NA","","NA","NA","NA","NA","NA","2845","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","5779986","160000","","","96000","321000","","","14568","","132000","NA","NA","NA","NA","6503554","2122560.9","","","54473","14568","","204833.51","","","","","","204833.51","2601268.92"
"1009","15.7","80.73","","","","","7580","1808","5772","NA","NA","7545","NA","NA","","NA","NA","35","NA","NA","","NA","NA","","NA","NA","7580","1","1","1","","2","2","3","0","","2","NA","NA","NA","NA","","7329422","","","","","","","NA","","","176798","","375000","","","7881220","1926216","","","16600","","","225000","","","","","","","2167816"
"1010","55.3","114.8","","","","","4911","1658","3253","","","4711","","","4","","","48","","","148","","","","","","4911","1","1","1","","2","2","1","0","","1","1378","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4056000","","","","","","","","","","","","","4056000"
"1011","6","300","","2.53","2.53","3.27","17861","7384","10477","9003","227","8114","40","","12","248","9","97","89","3","9","6","2","2","9386","241","8234","1","1","1","","1","1","0","1","","2","NA","NA","NA","","","16015171.3","NA","NA","NA","NA","1042904","NA","NA","NA","NA","662392","NA","1515322.61","682408.39","13724996.05","33643194.35","23985650.92","NA","NA","123314.49","150190.78","NA","36180","NA","670383","NA","3500000","1101098.49","137959.13","29704776.81"
"2001","208","1224","15","","8","","153991","125164","28827","128007","2268","13754","313","8","","8783","","","845","13","","","","","137948","2289","13754","1","1","1","","1","1","0","4","","2","","","","","","22767010.91","1327731.56","21642726.83","745980","646667.86","15270214.97","3721992.99","65267103.65","26501401.76","30939495.57","13564158","2196992","11879320.81","34591422.29","575818916.31","826881135.51","448371881.58","","42828317.96","56686866.95","2290191.11","","","","24000526.25","3300000","","16442798.35","31528870.02","625449452.22"
"2002","9.84","4593","3243","","4.423","","356964","316281","40683","331578","23001","472","227","","","21923","119","1","2761","107","2","","","","356489","23227","475","1","1","1","","1","1","0","4","","1","20710","NA","NA","","","","","","41128288","14505096","34959663","1833180","192007863","112109572","93655435","107941790","24932604","27451741","266204473","852168781","1768898486","1182192878","30662674","","309559356","","257726","820421","9188296","78996232","","","38385171","40698628","1690761382"
"2003","649","536","9","0.9","","","40299","34201","6098","37342","","","2392","","","231","","","236","","","98","","","40299","","","1","2","0","","1","1","0","4","","2","","","","","","986141","1189402","2183803","5987536","1275917","3286607","3369888","","","8358475","41504090.14","2686625","6733916","3670294","225461802","306694496.14","255437257.43","74171.89","","77074428.93","3129128.4","","113910.16","","23505259.7","220000","","3025746.52","596489.8","363176392.8"
"2004","3096","950","1835","1300","6500","","637449","NSS","NSS","531458","46059","21719","2748","196","91","30295","1845","1085","1420","374","159","","","","565921","48474","23054","1","1","2","","1","1","0","4","","2","NSS","NSS","NSS","","","1113233070","32096295","50429213","585381","19257777","72145321","12838518","655755594","437170396","71214325","48652325","37579460","682939895","","1119832672","4353730242","3351255869.11","16908834.49","","595529860","289599968","","","9463780","114540900","","","93823952","88571393.3999996","4559694557"
"2005","402.5","950","2.5","13.5","6.5","","42564","NSS","NSS","34269","2192","3277","122","9","10","2265","101","120","162","24","13","","","","36818","2326","3420","1","1","2","","1","1","0","4","","2","NSS","NSS","NSS","","","106978111.26","","3069703.14","","","23812920","","64602160.24","46768178.23","6130727.66","5052294.5","3528776.25","64129236.62","","105154223.57","429226331.5","297696761","1576115","","819258","","","","9152678","110775612","","","9375531","827290225","1256686180"
"2006","140","410","","10","25","","14632","670","13962","7546","512","9991","","","","451","","15","157","","","","","","8154","512","10006","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","NSS","585000","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","585000","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"3001","112.01","513.24","","NSS","NSS","NSS","25854","16656","9198","6441","3265","12447","46","1","","1407","889","87","","","1271","","","","7894","4155","13805","1","1","2","","1","2","3","0","","1","130","NA","NA","","","17013332.09","226543.09","","21840","","","","52291590.51","","","","","1411290.36","358808.4","","71323404.45","49077075","","","1521037.93","1410648.64","","249274.05","19887997.74","","","","640337.81","","72786371.17"
"3002","NSS","NSS","","0.275","5.028","","17592","5506","12086","2239","","14093","60","","25","455","","604","","","116","","","","2754","","14838","1","1","1","","1","2","1","0","","2","NA","NA","NA","NA","","17756005.616","","4439001.404","","","452959.33","","16497320.73","3093247.64","1031082.55","","","3963343.71","","27503181.04","74736142.02","30506796.78","","1829938.96","786360.88","206214.56","","","15263933.62","","","","1126185.35","664274.79","50383704.94"
"3003","206","840","","1.02","7.4","","108136","94079","14057","24799","36721","39595","232","117","19","3341","2495","815","1","1","","","","","28373","39334","40429","1","1","3","","1","1","0","4","","2","NA","NA","NA","NA","","70269434.21","500307.59","","380664","","NSS","340243.58","47807612.01","13080808.42","9196791.93","4469979.5","","2196026.96","NSS","205266200.63","353508068.83","102045398.84","936132.86","15792826.39","8557604.66","15973527.94","","3297925.01","","","","","5089005.52","163191594.3","314884015.52"
"3008","364","1256","","","","","83681","36195","47486","56514","17840","997","881","7","","7416","12","14","","","","","","","64811","17859","1011","1","1","1","","1","2","6","0","","2","NA","NA","NA","NA","","10101000.49","2916530.76","41847002.03","72150003.5","530278.32","20202000.98","972176.92","231911993.01","3930711.75","1310237.25","11150658","","11531262","","178454174","587008029.01","320930878","3986658","12121680","57972090","37214249","","63994","7405209","9701385","","","5228816","15095811","469720770"
"3009","58.39","122.528","","NSS","2.2","NSS","8322","7982","340","1800","2000","3470","77","","","725","50","100","","","100","","","","2602","2050","3670","1","1","1","","1","2","6","0","","2","NA","NA","NA","NA","","444080","237114","603559","","114500","2640000","58000","10961185","8220889","8220888","","","","","3976742","35476957","19055209","2915642","3627195","279090","90426","","393616","1098143","","","568004","296653","516045","28840023"
"4001","11431","102440","","0.078","","","12780","4332","8448","","","12631","","","19","","","130","","","","","","","","","12780","1","1","1","","2","2","6","0","","1","1963","NA","NA","","","886556","970920","","","","","","","","","","","118839.82","210000","50000","2236315.82","2497830.83","","","270928","","","","","","55000","55000","","","2878758.83"
"4002","161.35","466.96","","3.013","","","78447","78447","","","","72262","1","","","159","","6025","","","","","","","160","","78287","1","1","1","","1","1","2","1","","2","NA","NA","NA","NA","","51784923.05","10877816.56","","","","","","62583193.96","","","3444950","","1623273.72","","78034179.62","208348336.91","101328004.49","","","","","","","1384997.18","3190014.2","","88255065","","8875563.57","203033644.44"
"4003","121","278","","","6426","","58183","53470","4713","14773","2048","21173","335","36","29","4624","390","734","11316","1394","5199","","","","31048","3868","27135","1","1","1","","1","2","6","0","","1","1677","","","","","21865613.99","266379.32","7291824.81","","","1617777.14","4959275.4","10203472.58","6323176.29","6424489.71","1535015","316510","4746579.75","654631.96","83235340.05","149440086","48623520.28","","","602195.74","","","39637022.3","1175524.01","","","","2906825.18","49715023.74","142660111.25"
"4004","28","200","","10","50","","24686","7314","17372","NA","NA","6821","NA","NA","16","NA","NA","477","NA","NA","","NA","NA","","NA","NA","7314","1","1","4","SE ESTIPULO EN LA ULTIMA JUNTA DE GOBIERNO, DEL SMAPDACH, LAS ACTUALIZACIONES DE LA CUOTAS, ASI COMO TAMBIEN PUBLICADO EN EL DIARIO OFICIAL DE LA FEDERACION DEL ESTADO DE CAMPECHE","2","2","7","0","","1","1950","","","","","","","","","","","","","","","","746895","7632","","","754527","1099207.22","","","38850","","","","","","","","189880","","1327937.22"
"4005","4212","220","","","","","3484","3484","","","","3484","","","","","","","","","","","","","","","3484","1","2","4","EN EL MUNICIPIO NO SE CUENTA CON MEDIDORES","2","2","2","0","","2","NA","NA","NA","NA","","542157","605510","","","","","","","","","","","","","","1147667","599571","","","","","","","","","","","","","599571"
"4006","3865","4890","","","","","2628","2628","","","","2536","","","","","","92","","","","","","","","","2628","1","1","1","","2","1","6","2","","2","NA","NA","NA","NA","","12428504","1322400","","","","","","","","","","","200000","","","13950904","703729","","","1781880","","","","","","","","","","2485609"
"4007","22.5","34","","22.5","34","","1439","706","733","","","1439","","","","","","","","","","","","","","","1439","1","1","3","","2","1","6","1","","2","NA","NA","NA","NA","","NSS","NSS","","","","","","NSS","","","NSS","NSS","","","","NSS","105282","","","13250","","","","","","","","","","118532"
"4008","4809","39515","","","","","2684","1982","702","","","2639","","","","","","45","","","","","","","","","2684","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","1800000","246000","","","","","","","","","","","","","","2046000","211300","","","","","","","","","","","","","211300"
"4009","15.83","293.12","","0.8","2","","16604","10634","5970","","","16018","","","12","","","574","","","","","","","","","16604","1","1","4","NO CONTAMOS CON MEDIDORES DE CONSUMO EN EL MUNICIPIO DE ESCARCEGA.","2","1","5","1","","2","NA","NA","NA","NA","","6961927","180070","","","","","","4635395","","","240868","70323.21","210000","472300","1883108.71","14653991.92","5865192","","","","","","","","","","9645070","","437214","15947476"
"4010","260","265","","10","5","","8100","2500","5600","","","2300","","","20","","","160","","","20","","","","","","2500","1","1","4","ACUERDO MUNICIPAL","2","2","1","0","","2","","","","","","","108000","200000","","","","","","","","","","1400000","","800000","2508000","100000","","50000","","","","150000","","","","","","","300000"
"4011","11.489","343.42","","1.2","3.1","","11310","3290","8020","","","11061","","26","","","223","","","","","","","","","249","11061","1","1","1","","2","1","1","1","","2","NA","NA","NA","NA","","1398567.32","423121.3","","","","","","","","","124568","","856371.8","","","2802628.4","3276956.5","","","63800","","","","2000","","","","12062.9","","3354819.4"
"4012","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5001","NSS","NSS","NSS","NSS","NSS","NSS","305","305","","","","623","","","","","","","","","","","","","","","623","1","1","1","","2","2","7","0","","2","NA","NA","NA","NA","","16752","69600","","","","","","","","","","","","","","86352","30000","","","","","","","","","","","","","30000"
"5002","86.52","117.98","","1.1","1.39","","54207","53950","257","48825","NA","NA","336","NA","NA","1576","NA","NA","493","NA","NA","2977","NA","NA","54207","NA","NA","1","1","1","","1","1","0","4","","2","NA","NA","NA","NA","","1145862.68","768201.9","6510976.8","15023916.92","31953.93","2074395.39","1026522.54","57849631.11","662089.26","1226173.44","4905722","","5867045.96","8377563.94","48795051.85","154265107.72","93759743.98","","","11862413.78","8030777.31","","287410.82","24620814.69","4483580","","","302178.03","1176566.66","144523485.27"
"5003","84","84","NA","NSS","NSS","NA","8627","8102","525","NA","NA","8286","NA","NA","NA","6","6","321","NA","NA","8","NA","NA","NA","6","6","8615","1","1","1","","0","2","7","0","","2","NA","NA","NA","NA","","","195205.26","1564118","2472979.64","24186","","","426200","475032","","","","345403.66","","","5503124.56","9603074.89","","","384902.96","","","","","","","","","","9987977.85"
"5004","32","NSS","","","","","5209","5209","","2254","NA","1799","16","NA","2","82","NA","28","NA","NA","NA","780","NA","248","3132","NA","2077","1","1","1","","2","2","1","0","","2","NA","NA","NA","NA","","1712201","59055.59","","","","","","2665438.03","","","","","","","","4436694.32","5766717.05","NA","NA","813605.21","234254.88","NA","NA","NA","NA","NA","NA","NA","NA","6814577.14"
"5005","3","12","NA","NA","NA","NA","824","824","","662","162","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","662","162","NA","1","1","2","","1","2","0","0","","2","NA","NA","NA","NA","","384738","12394.92","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","127050.57","524183.49","294576","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","294576"
"5006","33.35","33.35","","NA","NA","NA","7939","","","915","NA","6776","NA","NA","NA","76","NA","172","NA","NA","NA","NA","NA","NA","991","NA","6948","1","1","1","","1","1","0","1","","2","","","","","","4012990","85505","","","","75019","1617","","","","","","185015","","1034257","5394403","9156398.98","","","458687.54","623143.6","","669922.75","183907.24","","","","547316","","11639376.11"
"5007","12","12","","0.6","NA","NA","4168","4168","","1101","","2769","11","","","138","","94","","","55","","","","1250","","2918","1","1","1","","1","1","0","1","","2","","","","","","1800000","288000","","","","","","1483236.05","NA","NA","NA","NA","NA","NA","NA","3571236.05","4620745","","","","","","","","","","","","","4620745"
"5008","12","12","","","","","975","400","575","NA","NA","975","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","975","1","1","1","","2","1","2","1","","2","NA","NA","NA","NA","","660000","480000","","","","","","","","","","","300000","","","1440000","15012","","","3000","","","","","","","","","","18012"
"5009","17","45.08","NA","NA","1","NA","20014","10161","9853","329","716","17670","NA","NA","NA","116","232","951","NA","NA","NA","NA","NA","NA","445","948","18621","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","8218882.31","366920.55","","","","","","NA","NA","","147021","274118","3407206.77","NA","25944919.16","38359067.79","16395124.25","","","829239.17","","","","","","","","16365.76","13311410.69","30552139.87"
"5010","307.83","554.65","NA","0.259","NA","NA","99486","","","53056","22748","18683","115","21","","2612","1214","253","500","224","60","NA","NA","NA","56283","24207","18996","1","1","1","","1","1","0","4","","2","NA","NA","NA","NA","","45305019","528178","","","","","","145752305","","","15537447","","15209810","33308460","51894613","307535832","156388612","2725390","4036752","3898472","34870032","","221391","","28636626","","","3280108","90312859","324370242"
"5011","2","2","","","","","88","88","","84","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","88","NA","NA","1","1","1","","2","1","0","1","A LO QUE ACUERDE EL CONSEJO","2","NA","NA","NA","NA","","","26007.2","627475","","","","","","56000.04","","1503461","","170864.87","","","2383808.11","2100805.89","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2100805.89"
"5012","30","30","","","","","808","808","","707","100","","","","","1","","","","","","","","","708","100","","1","1","4","SE COBRA POR CUOTA FIJA PORQUE NO TODOS LOS  MEDIDORES  FUNCIONAN","2","1","0","1","","2","NA","NA","NA","NA","","228783","121104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","349887","851677.64","NA","NA","14982.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","866660.24"
"5013","44.2","44.2","","NA","0.655","NA","877","877","","NA","NA","861","NA","NA","NA","NA","NA","NA","NA","NA","16","NA","NA","NA","NA","NA","877","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","296310.81","97442.4","NA","125919","NA","NA","NA","582000","NA","NA","NA","NA","349433.04","NA","NA","1451105.25","46563.55","","","10018","","","","","","","","","","56581.55"
"5014","47","43.5","","","0.23","","2486","482","2004","","","2463","","","9","","","14","","","","","","","","","2486","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","856516","209680","NA","NA","NA","NA","NA","954403.29","NA","NA","NA","NA","1116204.9","NA","45574.84","3182379.03","862251.48","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","862251.48"
"5015","NSS","NSS","NSS","NSS","NSS","NSS","898","600","298","","","898","","","","","","","","","","","","","","","898","1","1","1","","2","2","0","0","","2","","","","","","366000","240000","","","","","","","","","","","240000","NA","","846000","58175","","","","","","","","","","","","","58175"
"5016","11","17.7","","NSS","NSS","NSS","834","834","","","","834","","","","","","","","","","","","","","","834","1","1","1","","2","1","3","2","","2","NA","NA","NA","NA","","","180000","","","","","","","","","","","","","","180000","163885","","","","","","","","","","","","","163885"
"5017","50.6","335","","1.6","3.5","NA","24089","18818","5271","96","","22754","50","","61","257","","761","","","110","","","","403","","23686","1","1","1","","1","1","0","4","","2","NA","NA","NA","NA","","9466640.04","33600.18","937236","","","","","15309233.67","","","1048827","565435","","","2611753.21","29972725.1","28608689.62","","1016341.99","","918583.9","","","","","","","398295.52","1479436.27","32421347.3"
"5018","307.83","554.65","NA","0.259","NA","NA","99486","","","53056","22748","18683","115","21","","2612","1214","253","500","224","60","NA","NA","NA","56283","24207","18996","1","1","1","","1","1","0","4","","2","NA","NA","NA","NA","","45305019","528178","","","","","","145752305","","","15537447","","15209810","33308460","51894613","307535832","156388612","2725390","4036752","3898472","34870032","","221391","","28636626","","","3280108","90312859","324370242"
"5019","NSS","NSS","NSS","NSS","NSS","NSS","2931","","2931","1447","339","1053","","","","24","9","34","","","24","","","","1471","348","1111","1","1","1","","1","1","1","4","","2","NA","NA","NA","NA","","1213353","62366.8","NA","NA","NA","NA","NA","1467201","NA","NA","NA","NA","NA","NA","1036209.8","3779130.6","3156356.12","","326061.85","153809.14","284983.75","","","207453.36","","","","600","162503.36","4291767.58"
"5020","2.7","2.7","","1.923","1.923","NA","14124","14124","","1052","NA","12711","NA","NA","NA","98","NA","263","NA","NA","NA","NA","NA","NA","1150","NA","12974","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","659743","148076.64","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8479.6","NA","NA","816299.24","6978981.69","","","1099110","","","","88796.99","","","","","","8166888.68"
"5021","NSS","NSS","","NA","NA","NA","2055","","","NA","NA","2048","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","2055","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","1644","36000","","","","","","","","","","","","","","37644","659645.5","","66511","40653.75","34145","","","","","","","","","800955.25"
"5022","NSS","NSS","","NA","NA","NA","10115","8032","2083","NA","NA","9893","1","NA","NA","28","NA","192","NA","NA","NA","NA","NA","NA","29","NA","10085","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","5200000","574425.16","385000","1560000","NA","NA","NA","3477711.93","NA","NA","NA","35977","NA","NA","NA","11233114.09","11134795","NA","NA","132689","NA","NA","NA","NA","NA","NA","NA","NA","NA","11267484"
"5023","9.955","23.14","","1.5","","","2166","2166","","","","2154","","","4","","","","","","8","","","","","","2166","1","1","3","","2","2","7","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5024","6.19","139.54","","NA","2.7","NA","14304","14304","","7994","NA","5660","4","NA","","440","NA","206","NA","NA","NA","NA","NA","NA","8438","NA","5866","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","3600426","2216241","","","","","","","","","","","","","8002817","13819484","10033070","","","415403","2174761","","","","","","","426878","749558","13799670"
"5025","64","792","NA","1","16","NA","65728","57207","8521","57207","39008","4276","77","74","2","2235","1657","80","153","28","123","NA","NA","NA","59672","40767","4481","1","2","0","","1","1","0","2","","2","NA","NA","NA","NA","","5018423","","","25341039","4354253","3239670","","","","","","","","","","37953385","121444687","","14808132","","31582714","","","28288663","8370200","","","","","204494396"
"5026","5","18.1","","","","","552","552","","","","552","","","","","","","","","","","","NA","","","552","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","","57028.5","","","","","","148203","","","","","","","","205231.5","245088","","","","","","","","","","","","","245088"
"5027","34.8","287.7","NA","3.7","1.1","NA","30645","30645","","19450","127","9409","166","12","85","914","36","400","43","","3","","","","20573","175","9897","1","1","1","","1","1","0","1","","2","","","","","","20333435.18","1913017","NA","NA","NA","2771280","NA","16413601.21","NA","NA","261332","NA","NA","NA","12035823.1","53728488.49","41853090.95","","8580433.94","1655052.57","","","","14992998.39","","","","374012.29","145822.77","67601410.91"
"5028","31","317","","NSS","NSS","NSS","23451","19282","4169","21869","1098","341","13","","","1053","40","27","122","5","26","NA","NA","NA","23057","1143","394","1","1","4","CALCULO FIJO POR ACUERDO CON EL GOBIERNO DEL ESTADO DE COAHUILA POR SER ESCUELAS PUBLICAS","1","1","0","1","","2","NA","NA","NA","NA","","1915877","87876.96","","","","","","16542162.28","NA","","12081898.1","","12827897.65","1910880.31","13040294.79","58406887.09","40733437.23","","","91207.11","10536263.81","","106698.54","10825740.08","NA","","","511096.88","NA","62804443.65"
"5029","NSS","NSS","NSS","NSS","NSS","NSS","1039","1039","","NA","NA","1039","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1039","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","1112251","51034.2","","","","","","","","","","","12581.26","","","1175866.46","199042","","","5022","","","","","","","","","","204064"
"5030","103.94","2733","9.4","","46.7","","266156","266156","","249319","1104","163","190","2","","13277","93","18","1447","8","3","445","6","81","264678","1213","265","1","2","0","","1","1","0","4","","1","10955","NA","NA","","","66852993","1088006","3210153","","","9088954","7738202","102152841","25538210","122041669","29833416","14422620","2233295","64571129","351000473","799771961","451568004","1244028","92441205","33987907","","","","","","","6895587","6528838","253436576","846102145"
"5031","8.5","220","","","2","","9141","","","3109","NA","5737","1","NA","","126","NA","128","","NA","40","","NA","NA","3236","","5905","1","1","1","","1","1","0","4","","2","NA","NA","NA","NA","","2246432","56215","","","","","","4842364","","","","","212374","","2351223","9708608","7304099","","","949257","769725","","","","","","","89705","538744","9651530"
"5032","80","80","","","","","27246","2020","25226","25596","","202","10","","","1365","","","73","","","","","","27044","","202","1","1","4","SON TOMAS DE ESCUELAS PUBLICAS","1","1","0","1","","2","NA","NA","NA","NA","","3751450","392461","","","","","","7693088","","","","","","","","11836999","33847255","","","","","","","","","","","263472","","34110727"
"5033","NSS","NSS","NSS","NSS","NSS","NSS","26268","13733","12535","229","256","24644","62","9","121","83","24","645","2","","193","NA","NA","NA","376","289","25603","1","1","1","","2","1","0","5","","2","NA","NA","NA","NA","","13709844.19","144490","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13854334.19","24946639.58","NA","3802899.39","540213.8","NA","NA","NA","1538311.16","NA","NA","NA","NA","NA","30828063.93"
"5034","9","13","","","","","828","324","504","","","828","","","","","","","","","","","","","NA","NA","828","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","299679","9019.21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","308698.21","231590","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","231590"
"5035","21","1577","14","","5.4","","210439","210439","","103718","1694","89753","1005","2","161","9468","54","3664","549","2","369","","","","114740","1752","93947","1","1","1","","1","1","0","4","","2","NA","NA","NA","","","194776171.76","2764454","5898607.81","","","22160506.68","2259557.52","96989434.56","156260756.115","16164905.8","15000000","","32234665.54","47162049.39","184557116.42","776228225.6","441943828.76","17036877.8","97958522.1076","13247289.1992","167327728.4176","","","","","","","12069444.21","29535900.25","779119590.75"
"5036","27","27","NA","","","NA","3225","1026","2199","9972","18686","10710","96","","81","925","104","201","17","4","13","NA","NA","NA","11010","18794","11005","1","1","3","","1","1","0","4","","2","NA","NA","NA","NA","","41485381","7834373","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49319754","64498458","NA","NA","NA","9444809","NA","NA","NA","NA","NA","NA","NA","10732705","84675972"
"5037","NSS","NSS","NSS","","","","2542","2542","","","","2542","","","","","","","","","","","","","","","2542","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","","","71954.69","","","","","760119","","","","","57729","","614089.66","1503892.35","702680","","","29134","","","","","","","89904","","","821718"
"5038","NSS","NSS","NSS","","0.05","","4336","4336","","","","4307","","","3","","","50","","","18","","","","","","4378","1","1","1","","2","2","1","0","","2","NA","NA","NA","NA","","2019717.3","145631.04","","","","","","","","","","","149862.74","","2322947.75","4638158.83","3208171","","","289055","246452","","","","","","","39326.83","","3783005"
"6001","25","181","","","","","11155","5870","5285","","","10243","","","41","","","871","NSS","NSS","NSS","","","","","","11155","1","1","1","","2","2","5","0","","2","NA","NA","NA","NA","","6060507.51","60096","","","","","","11577776.75","","","","","1004996.97","","3826896.78","22530274.01","11183295.22","","1025417.98","162101.22","125329.82","","","2412495.44","843459","","","284788.26","64201.71","16101088.65"
"6002","136.15","600.66","","","","","79489","78492","997","21721","4557","45184","405","52","133","3200","538","1566","136","86","669","1029","207","","26491","5440","47552","1","1","1","","1","1","0","2","","2","","","","","","43252550.59","8342318.66","","","","","","","","105854661.96","7476623","","2787730.74","7664193.87","233235713.9","408613792.72","156664324.2","","114083583.11","3594240.34","78182307.85","","726147.02","5801368.7","15042702","","","6380762.75","17360045.71","397835481.68"
