"id_recibo","folio","recibcon","si_inclu","no_inclu","no_aplic"
"301","20359","6","","","1"
"302","20359","7","","","1"
"303","20437","1","","","1"
"304","20437","2","","","1"
"305","20437","3","","","1"
"306","20437","4","","","1"
"307","20437","5","","","1"
"308","20437","6","","","1"
"309","20437","7","","","1"
"310","20437","8","","","1"
"311","20437","9","","","1"
"312","20437","10","","","1"
"313","20437","11","","","1"
"314","20437","12","","","1"
"315","20359","8","","","1"
"316","20359","9","","","1"
"317","20359","10","","","1"
"318","20359","11","","","1"
"319","20359","12","","","1"
"320","30049","4","","","1"
"321","30049","11","","","1"
"322","20268","6","","","1"
"323","20268","7","","","1"
"324","20126","6","","","1"
"325","20126","7","","","1"
"326","14035","5","","","1"
"327","14035","7","","","1"
"328","30022","1","","","1"
"329","30022","2","","","1"
"330","30022","3","","","1"
"331","30022","4","","","1"
"332","30022","5","","","1"
"333","30022","6","","","1"
"334","30022","7","","","1"
"335","30022","8","","","1"
"336","30022","9","","","1"
"337","30022","10","","","1"
"338","30022","11","","","1"
"339","30022","12","","","1"
"340","29022","3","","","1"
"341","29022","4","","","1"
"342","29022","5","","","1"
"343","29022","6","","","1"
"344","29022","7","","","1"
"345","29022","8","","","1"
"346","29022","9","","","1"
"347","29022","10","","","1"
"348","29022","11","","","1"
"349","29022","12","","","1"
"350","15020","3","","","1"
"351","15020","4","","","1"
"352","15020","5","","","1"
"353","5006","7","","","1"
"354","13067","6","","","1"
"355","14022","4","","","1"
"356","14022","5","","","1"
"357","12004","9","","","1"
"358","12004","10","","","1"
"359","12004","11","","","1"
"360","14022","10","","","1"
"361","14010","1","","","1"
"362","14010","2","","","1"
"363","14010","3","","","1"
"364","14010","4","","","1"
"365","14010","5","","","1"
"366","14010","8","","","1"
"367","14010","9","","","1"
"368","14010","10","","","1"
"369","14010","11","","","1"
"370","24046","2","","","1"
"371","24046","1","","","1"
"372","24017","6","","","1"
"373","24017","7","","","1"
"374","24017","9","","","1"
"375","24017","10","","","1"
"376","24017","11","","","1"
"377","26048","4","","","1"
"378","26048","7","","","1"
"379","30096","1","","","1"
"380","30096","2","","","1"
"381","30096","3","","","1"
"382","30096","4","","","1"
"383","30096","5","","","1"
"384","30096","6","","","1"
"385","30096","7","","","1"
"386","30096","8","","","1"
"387","30096","9","","","1"
"388","30096","10","","","1"
"389","30096","11","","","1"
"390","30096","12","","","1"
"391","13063","4","","","1"
"392","13063","5","","","1"
"393","16112","4","","","1"
"394","16112","5","","","1"
"395","16112","11","","","1"
"396","16112","12","","","1"
"397","16070","4","","","1"
"398","16070","11","","","1"
"399","8006","1","","","1"
"400","8006","3","","","1"
"401","8006","4","","","1"
"402","8006","5","","","1"
"403","8006","6","","","1"
"404","8006","7","","","1"
"405","8006","9","","","1"
"406","8006","10","","","1"
"407","26070","10","","","1"
"408","26070","11","","","1"
"409","13058","11","","","1"
"410","13058","12","","","1"
"411","13061","11","","","1"
"412","13061","12","","","1"
"413","8003","1","","","1"
"414","8003","2","","","1"
"415","8003","3","","","1"
"416","8003","4","","","1"
"417","8003","5","","","1"
"418","8003","6","","","1"
"419","8003","7","","","1"
"420","8003","8","","","1"
"421","8003","9","","","1"
"422","8003","10","","","1"
"423","8003","11","","","1"
"424","8003","12","","","1"
"425","16025","7","","","1"
"426","16025","9","","","1"
"427","16025","10","","","1"
"428","16025","11","","","1"
"429","16025","12","","","1"
"430","25014","8","","","1"
"431","30064","5","","","1"
"432","11012","3","","","1"
"433","11012","4","","","1"
"434","26035","7","","","1"
"435","26035","11","","","1"
"436","16025","2","","","1"
"437","16025","3","","","1"
"438","16025","4","","","1"
"439","16025","5","","","1"
"440","30034","4","","","1"
"441","30034","6","","","1"
"442","30034","7","","","1"
"443","16031","3","","","1"
"444","16031","4","","","1"
"445","16031","5","","","1"
"446","16031","1","","","1"
"447","16031","2","","","1"
"448","16031","6","","","1"
"449","16031","7","","","1"
"450","16031","8","","","1"
