"id_serv","folio","tipotom2","num_tom","recib_ex","mon_fact","mon_reca","v_sum_m3","frecfac2"
"4574","28012","3","620","NA","7837981.63","1903524","109562","0"
"4575","28012","4","205","NA","1039294.89","704138.63","52488","0"
"4582","5033","1","NA","NA","393264","NA","63684","0"
"4583","5033","2","NA","NA","1527216","NA","57588","0"
"4584","5033","3","NA","NA","798576","NA","35460","0"
"4585","5033","4","NA","NA","17688","NA","2328","0"
"4586","14098","2","8","84","NA","NA","2185","0"
"4587","14098","3","411","4860","NA","NA","112242","0"
"4588","14098","4","8","96","NA","NA","2185","0"
"4594","15120","3","645","1438","7221697","7221697","1175400","0"
"4595","15091","1","9544","2877","4170321.16","NA","NA","0"
"4596","15091","3","313","219","1783377.42","NA","NA","0"
"4597","30014","3","208","190","650067.39","577197.84","42490","0"
"4598","30014","4","33","19","120721.53","120721.53","5935","0"
"4599","14047","1","7944","7623","947863.08","6756965.74","5049","0"
"4600","14047","3","210","441","913023.21","849056.08","13547","0"
"4601","28037","1","4134","40912","2811932.15","2340203","486262","0"
"4602","28037","2","9","107","55359","49022","5381","0"
"4603","28037","3","199","3355","338503.39","277816","57639","0"
"4604","28037","4","32","551","250219","128413","46309","0"
"4605","10032","1","4906","4906","3686624","3686624","1395610","1"
"4606","10032","2","32","32","36420","36420","16920","1"
"4607","10032","3","2025","2025","1154211","1154211","232125","1"
"4608","11009","1","25","25","426789.27","31588.17","720","0"
"4609","11009","2","2","2","NA","174097.08","754","0"
"4610","11009","3","67","66","NA","270271.25","2022","0"
"4611","11009","5","3","3","NA","8392.9","36","0"
"4612","14094","1","1100","NA","NA","NA","NA","0"
"4616","13075","1","1852","1990","285004.37","285004.37","NSS","0"
"4617","14083","3","72","NSS","NSS","NSS","NSS","0"
"4629","8044","3","6","72","17098.62","15519.05","1732","0"
"4676","8011","5","","","","41528.01","","0"
"4766","15048","4","2","","","","468","0"
"4839","28027","1","84592","84592","183331006.42","88446566.65","15381100","0"
"4840","28027","2","191","191","67121109.41","39462965.04","1377478","0"
"4842","28027","3","4610","4610","42667714.26","23168520.82","1729765","0"
"4908","30176","5","","","","61957.58","","0"
"5020","14098","5","52","600","NA","NA","14201","0"
"5021","28043","3","86","NA","NA","NA","1126","0"
"5022","28035","5","NA","NA","NA","NA","266145","0"
"5055","14025","1","1969","NA","4451219.28","3063463.4","NA","0"
"5056","14025","3","107","NA","459810.18","608582.74","NA","0"
"5057","14122","1","NA","2657","NA","932067.86","NA","0"
"5059","28035","1","4715","4715","NA","NA","NA","0"
"5060","28035","2","20","20","NA","NA","NA","0"
"5061","28035","3","350","350","NA","NA","NA","0"
"5062","28035","4","107","107","NA","NA","NA","0"
"5065","2006","3","451","NSS","NSS","NSS","NSS","4"
"5066","2006","4","157","NA","NA","NA","NA","0"
"5071","5021","3","7","NA","NA","NA","NA","0"
"5072","2006","1","8012","NSS","NSS","NSS","NSS","4"
"5087","14073","2","2","NA","NA","NA","NA","0"
"5088","14073","3","30","NA","NA","NA","NA","0"
"5096","14048","4","30","NA","NA","NA","NA","0"
"14355","17030","1","2805","2805","3200000","1596000","311352","1"
"14356","17031","5","","","","","","1"
"14357","10038","5","19","19","121980","60990","NSS","1"
"14358","3001","1","6441","77292","11223929.76","10927437.09","1510828","1"
"14359","3001","2","46","552","6389120.64","6704228.62","399434","1"
"14360","3001","3","1407","16884","5469463.92","9651735.58","181078","1"
"14361","30102","1","21195","254340","18565835","13179775","3366761","1"
"14362","30102","2","156","1872","7191217","5104673","274950","1"
"14363","30102","3","1749","20988","5161000","3663493","436338","1"
"14364","30102","4","125","1500","709442","503344","49225","1"
"14365","4003","4","16515","11316","15648356","15648356","881443","1"
"14366","19008","3","24","288","117822","128814","3613","1"
"14367","19008","4","27","324","735262","663577","20176","1"
"14368","19029","1","2833","33741","4519893","3295337","396334","1"
"14369","19029","2","1","12","3357","5653","14","1"
"14370","19029","3","34","412","209626","226065","8276","1"
"14371","19029","4","32","419","394543","294449","15495","1"
"14372","19042","1","2286","27233","3430212","3399363","287025","1"
"14373","19042","2","1","12","4778","5504","332","1"
"14374","19042","3","46","562","261290","108783","8393","1"
"14375","19042","4","52","624","885170","537359","26958","1"
"14376","18017","1","1535","45600","2703974.52","2599439.42","255972","1"
"14377","18017","3","1158","34400","20655687.06","13637090.7","554160","1"
"14378","8031","1","2484","29808","5501024.64","4835519.85","351099","1"
"14379","8031","2","11","132","128169.95","118684.84","3629","1"
"14380","8031","3","159","1908","591003.88","507108.25","23745","1"
"14381","8031","4","53","636","408835.74","677631.26","29676","1"
"14382","26016","1","7","7","10242.2","10058.97","3414","1"
"14383","26016","2","2","2","11872.95","5938.51","3957","1"
"14384","30178","3","111","1274","476961","457906","34412","1"
"14385","30178","4","30","194","667909","307597","20984","1"
"14386","13050","3","347","2532","987464.57","987464.57","52718","1"
"14387","13050","4","96","445","310227.58","310227.58","20286","1"
"14388","28032","1","96034","96034","123393242","89638335","17368350","1"
"14389","28032","2","977","977","197322060","68925438","2007016","1"
"14390","28032","3","7005","7005","100860503","157587115","2134268","1"
"14391","28032","4","90","90","13802526","9429042","87734","1"
"14392","17031","4","","","","","","1"
"14393","23010","1","989","11868","3316733.11","1625199.22","144345","1"
"14394","23010","2","","","","","","1"
"14395","23010","3","261","3132","1630993.03","815496.51","47313","1"
"14396","23010","4","54","648","2788610.58","1394300.29","48910","1"
"14397","23010","5","157","1884","1746888.05","1873400.02","41578","1"
"14398","24050","1","63","","154000","92447","2437","1"
"14399","24050","2","3","","21790","13077","642","1"
"14400","24020","1","27205","326460","33832262","30355525","6299265","1"
"14401","24020","2","144","1728","5560080","4988704","562923","1"
"14402","24020","3","1803","23439","5307632","4762199","375786","1"
"14403","24020","4","303","4242","1900648","1705330","278722","1"
"14404","30174","3","1306","1306","2646913.24","544849.72","328380.93","1"
"14405","30174","4","","","","","","1"
"14406","30174","5","","","","","","1"
"14407","10039","1","2372","28464","1489251","1265863.35","261792","1"
"14408","10039","2","16","192","1185892.24","1008008.4","63365","1"
"14409","10039","3","345","4140","478664.5","406864.825","11084","1"
"14410","6002","1","26278","37695","67464057.41","39081174.57","NSS","1"
"14411","6002","2","457","731","9678712.65","8454721","NSS","1"
"14412","6002","3","3738","5855","42169962.51","33957167.44","NSS","1"
"14413","6002","4","222","113","4186518.34","4024664.95","NSS","1"
"14414","6002","5","1236","1652","3353338.8","2320856.55","NSS","1"
"14415","19027","1","1696","20235","2013850","1822052","151353","1"
"14416","19027","3","24","292","95308","114385","2277","1"
"14417","19027","4","28","413","239195","352177","7376","1"
"14418","8044","1","639","7668","1172032.21","908711.34","184488","1"
"14419","8044","2","","","","","","1"
"14420","8044","4","15","180","48716.32","45055.64","4332","1"
"14421","25006","1","300685","3560663","481257533.05","438263499.8","48318497","1"
"14422","25006","2","1987","23821","40567737.21","39550829.08","1708505","1"
"14423","25006","3","21332","254070","95463326.53","88902185.47","4504494","1"
"14424","25006","4","3213","38491","91778879.83","80801186.6299999","4623578","1"
"14425","25006","5","","","","","","1"
"14426","19034","3","19","224","153791","273390","5844","1"
"14427","19034","4","29","360","360833","403904","10800","1"
"14428","19035","1","815","9590","980836","1039620","79432","1"
"14429","19035","2","1","12","4355","5005","238","1"
"14430","19035","3","7","84","28694","31094","988","1"
"14431","19035","4","19","244","208773","219691","7585","1"
"14432","30123","1","4783","57396","13957965.76","11299101.1","640265","1"
"14433","30123","2","737","8844","2189629.3","1139670.1","35767","1"
"14434","30123","3","254","3048","4003822.01","2920370.33","114718","1"
"14435","30123","4","79","948","1983575.43","174758.69","37177","1"
"14436","5007","5","","","","","NA","1"
"14437","30161","1","2799","33588","8825581","3976426","60699","1"
"14438","30161","2","17","204","","","","1"
"14439","30161","5","","","","","","1"
"14440","19051","1","2068","24609","3974144","2926207","325134","1"
"14441","19051","3","24","288","124914","146622","5276","1"
"14442","19051","4","32","376","665734","948407","23399","1"
"14443","30012","1","15","180","4774.92","4774.92","150","1"
"14444","30012","3","3","36","8119.44","7571.72","30","1"
"14445","30012","4","13","156","150027.48","","130","1"
"14446","30013","1","7769","92519","8886647","5448370","1127239","1"
"14447","30013","2","49","587","571582","533782","31500","1"
"14448","30013","3","779","9378","1452828","1041454","138492","1"
"14449","30013","4","45","540","119374","40498","10663","1"
"14450","30014","1","1660","1400","2399670","2297075.04","353358","1"
"14451","30014","2","11","11","89647.38","89647.38","3647","1"
"14452","30053","1","2939","2939","5326470.72","2690726.63","493315","1"
"14453","30053","2","14","14","189525.87","171062.62","6499","1"
"14454","30053","3","537","537","1971654.27","1231190.46","110084","1"
"14455","30053","4","57","57","606748.97","71119.72","25876","1"
"14456","26041","1","3823","3823","6432159.11","2468103.6","586560","1"
"14457","26041","2","21","21","455861.23","306953.24","10158","1"
"14458","26041","3","185","185","1681234","835646.24","44107","1"
"14459","26041","5","23","23","73176.44","46548.74","1431","1"
"14460","26046","1","213","741","107659","","","1"
"14461","8027","1","2910","34920","11038426.45","5703449.82","1056865","1"
"14462","8027","2","1","12","86416.66","92926.32","2473","1"
"14463","8027","3","100","1200","829267.61","415216.23","35712","1"
"14465","11042","1","19534","234408","30494053.8","28005606.72","2614798","1"
"14466","11042","3","1328","15936","4481344.42","4004528.11","191521","1"
"14467","11042","4","169","2028","3635389.63","460837.18","186850","1"
"14468","11042","5","869","10428","2413296.8","2199369.45","143798","1"
"14469","13003","1","7833","6367","11941059.2","","","1"
"14470","13003","2","46","","","","","1"
"14471","13003","3","920","785","1460291.48","","","1"
"14472","5032","1","25596","25596","36022210","31122864","4411975","1"
"14473","5032","3","1365","1365","6979133","6642099","229744","1"
"14474","5032","4","73","73","732587","5622","44651","1"
"14475","28042","1","354","354","34000","500351","87411","1"
"14476","30174","1","9024","9024","7814893.55","3764719.63","1545300.56","1"
"14477","30174","2","53","53","210642","22111.06","21681.7","1"
"14478","19014","1","6816","81363","6519896","6678258","655355","1"
"14479","19014","3","216","2582","1499059","1701936","59372","1"
"14480","19014","4","174","2055","1794823","2191703","50337","1"
"14481","18020","1","47279","567348","86327529","25584189","9657075","1"
"14482","18020","2","311","3732","10384025","7255630","520552","1"
"14483","18020","3","2128","25536","15694511","6496125","719543","1"
"14484","18020","4","65","780","652843","9509","45479","1"
"14485","25005","1","2236","26832","1105632.2","1105632.2","269666","1"
"14486","25005","2","3","36","13153.75","13153.75","3208","1"
"14487","28031","1","557","350","257059.48","45334.13","6476","1"
"14488","19011","1","3230","38526","5619497","5841049","468122","1"
"14489","19011","2","5","60","22866","32241","925","1"
"14490","19011","3","156","1877","1128063","1384334","37164","1"
"14491","19011","4","53","680","462035","655797","15064","1"
"14492","24016","3","69","828","361488","30124","780","1"
"14493","25005","3","292","3504","242569.26","242569.26","59163","1"
"14494","25005","4","761","9132","958739.27","958739.27","233838","1"
"14495","24053","1","15","180","12420","3868.27","5162","1"
"14496","24053","2","4","48","40000","34559.48","730","1"
"14497","24053","3","23","276","40000","33905.37","3777","1"
"14498","24024","5","839","10068","2473133.9","2259177.69","150627.51","1"
"14499","31059","1","1751","1751","2046175.9","2046175.9","190932","1"
"14500","31059","3","427","427","474475.5","474475.5","274424","1"
"14501","28039","1","852","852","107624.64","75213.13","624","1"
"14502","21140","1","19543","234516","20627970.46","17210215.154304","478472","1"
"14503","30109","1","978","","1448790","","6262","1"
"14504","30109","3","247","","127089","","5347","1"
"14505","30109","4","45","","934214","","1796","1"
"14506","30005","1","16","16","70193.05","10320.7","160","1"
"14507","30005","3","1","1","996.05","5404.9","10","1"
"14508","30005","4","7","7","26996.54","1000","126","1"
"14509","32045","1","2087","2087","2189198","2189198","289699","1"
"14510","32045","2","31","31","48050","48050","5201","1"
"14511","32045","3","110","110","126011","126011","7582","1"
"14512","32045","4","8","8","11087","11087","1164","1"
"14513","30133","1","2541","2541","3440052.18","1415848.35","292396","1"
"14514","30133","2","2","2","48225.82","36813.63","300","1"
"14515","30133","3","108","108","312996.28","217491.51","15265","1"
"14516","30133","4","13","13","71528.38","11728.86","2487","1"
"14517","30108","1","6918","23568","13328650.86","1244453.9","1176207","1"
"14518","30108","2","16","15","854471.69","2785.37","66199","1"
"14519","30108","3","1318","1286","14315230.65","6000963.55","404915","1"
"14520","30108","4","92","7","4082347.87","46350.36","82306","1"
"14521","1011","1","8188","98256","20411837.28","11033399.42","761330.4","1"
"14522","1011","2","35","420","1969252.92","295023.5","36823.8","1"
"14523","1011","3","217","2604","5076401.28","45572.73","30881.16","1"
"14524","1011","4","79","448","2904180.96","105536.86","158711.76","1"
"14525","19005","1","5023","60164","10279083","7946278","803598","1"
"14526","19005","2","1","12","9793","10348","492","1"
"14527","19005","3","113","1344","2206954","2869299","62400","1"
"14528","19005","4","48","663","2621500","1758223","78900","1"
"14529","19006","1","202955","2410165","480518041","466314185","29531114","1"
"14530","19006","2","83","1000","12344022","14942283","209522","1"
"14531","19006","3","6125","72860","128547343","164590456","2433934","1"
"14532","19006","4","489","5910","14423878","18177370","546257","1"
"14533","19010","1","28262","318903","52980737","34489542","3129635","1"
"14534","19010","2","36","437","15612294","18191746","289561","1"
"14535","19010","3","355","3948","4152905","7464016","97410","1"
"14536","19010","4","52","635","1335020","2027692","53908","1"
"14537","30010","1","5135","61620","3205837","2573892","54277","1"
"14538","19009","2","2","22","6986","9885","36","1"
"14539","19009","3","951","11909","8995915","11676118","192431","1"
"14540","19009","4","144","1807","11251333","13698084","489200","1"
"14541","23005","4","915","915","34533495.79","37669898.5617207","753626","1"
"14542","24007","1","3000","36000","7200000","4099683.2","1000000","1"
"14543","24007","2","20","240","240000","240000","100000","1"
"14544","24007","3","1480","17760","7104000","2325316.8","400000","1"
"14545","12035","1","112","","161280","84893.69","26880","1"
"14546","5019","1","1786","1786","2014896.09","1560052.77","599169","1"
"14547","5019","3","34","34","223028.66","93372.67","26249","1"
"14548","2004","1","531458","6377496","2157506061","1525130600","85432938","1"
"14549","2004","2","2738","32856","619757698","569453842","7588246","1"
"14550","2004","3","30295","363540","769595785","622158017","7525576","1"
"14551","2004","4","1420","17040","242551862","81737186","2390018","1"
"14552","12035","2","24","","172800","321595.75","5760","1"
"14553","12035","3","2","","7200","201341.32","480","1"
"14554","12035","4","127","","54720","324592.21","30480","1"
"14555","8011","1","17210","206520","3920836.96","29978445.84","220836","1"
"14556","8011","2","88","1056","512019.95","6264174.68","16729","1"
"14557","8011","3","1004","12048","467137.85","4323432.21","17893","1"
"14558","8011","4","257","3084","120869.33","839754.08","15748","1"
"14559","11014","1","23299","279588","41004468.91","37428922.95","2629684","1"
"14560","11014","2","443","5316","2556433.73","2259815.31","110524","1"
"14561","11014","3","1558","18696","5482401.99","5015827.58","254518","1"
"14562","11014","4","74","888","345430.76","","14253","1"
"14563","11014","5","1678","20136","4507063.26","4013581.27","282492","1"
"14564","5031","1","3109","37308","2455649","2118359","827614","1"
"14565","5031","2","1","12","98681","100695","3653","1"
"14566","5031","3","126","1512","507250","450033","35668","1"
"14567","5031","4","","","","","","1"
"14568","30061","1","1659","18276","3652081","2766788","399012","1"
"14569","30061","2","3","324","906072","875824","11922","1"
"14570","30132","1","811","9732","900592.62","12233.28","107019","1"
"14571","30132","2","6","72","107019","11776.48","846","1"
"14572","30132","3","87","1044","166847.19","95648.5","12904","1"
