ARCHIVO,CONTENIDO
admncion,Administración.
cuotafij,"Tomas de agua sujetas a facturación o cobro bajo un esquema de cuota fija, considerando los diferentes tipos de toma."
servmedi,"Tomas de agua sujetas a facturación o cobro bajo un esquema de servicio medido, considerando los diferentes tipos de toma."
mediadop,"Medidas que se adoptaron con los usuarios que no pagaron a tiempo el servicio de agua de la red, según el tipo de toma."
reciboag,Conceptos incluidos en el recibo del agua.
