"folio","agu_bloq","ag_super","vo_super","vendsupr","ve_sup_e","ag_subte","vo_subte","vendsubt","ve_sub_e"
"8057","2","0","NA","0","","0","NA","0",""
"8058","2","0","NA","0","","0","NA","0",""
"8059","2","0","NA","0","","0","NA","0",""
"8060","2","0","NA","0","","0","NA","0",""
"8061","2","0","NA","0","","0","NA","0",""
"8062","2","0","NA","0","","0","NA","0",""
"8063","2","0","NA","0","","0","NA","0",""
"8064","2","0","NA","0","","0","NA","0",""
"8065","2","0","NA","0","","0","NA","0",""
"8066","2","0","NA","0","","0","NA","0",""
"8067","2","0","NA","0","","0","NA","0",""
"9002","1","1","","1","","2","NA","0",""
"9003","1","1","","1","","2","NA","0",""
"9004","1","1","","1","","2","NA","0",""
"9005","1","1","","1","","2","NA","0",""
"9006","1","1","","1","","2","NA","0",""
"9007","1","1","","1","","2","NA","0",""
"9008","1","1","","1","","2","NA","0",""
"9009","1","1","","1","","2","NA","0",""
"9010","1","1","","1","","2","NA","0",""
"9011","1","1","","1","","2","NA","0",""
"9012","1","1","","1","","2","NA","0",""
"9013","1","1","","1","","2","NA","0",""
"9014","1","1","","1","","2","NA","0",""
"9015","1","1","","1","","2","NA","0",""
"9016","1","1","","1","","2","NA","0",""
"9017","1","1","","1","","2","NA","0",""
"10001","2","0","NA","0","","0","NA","0",""
"10002","2","0","NA","0","","0","NA","0",""
"10003","2","0","NA","0","","0","NA","0",""
"10004","2","0","NA","0","","0","NA","0",""
"10005","2","0","NA","0","","0","NA","0",""
"10006","2","0","NA","0","","0","NA","0",""
"10007","2","0","NA","0","","0","NA","0",""
"10008","2","0","NA","0","","0","NA","0",""
"10009","2","0","NA","0","","0","NA","0",""
"10010","2","0","NA","0","","0","NA","0",""
"10011","2","0","NA","0","","0","NA","0",""
"10012","2","0","NA","0","","0","NA","0",""
"10013","2","0","NA","0","","0","NA","0",""
"10014","2","0","NA","0","","0","NA","0",""
"10015","2","0","NA","0","","0","NA","0",""
"10016","2","0","NA","0","","0","NA","0",""
"10017","2","0","NA","0","","0","NA","0",""
"10018","2","0","NA","0","","0","NA","0",""
"10019","2","0","NA","0","","0","NA","0",""
"10020","2","0","NA","0","","0","NA","0",""
"10021","2","0","NA","0","","0","NA","0",""
"10022","2","0","NA","0","","0","NA","0",""
"10023","2","0","NA","0","","0","NA","0",""
"10024","2","0","NA","0","","0","NA","0",""
"10025","2","0","NA","0","","0","NA","0",""
"10026","2","0","NA","0","","0","NA","0",""
"10027","2","0","NA","0","","0","NA","0",""
"10028","2","0","NA","0","","0","NA","0",""
"10029","2","0","NA","2","","0","NA","0",""
"10030","2","0","NA","0","","0","NA","0",""
"10031","2","0","NA","0","","0","NA","0",""
"10032","2","0","NA","0","","0","NA","0",""
"10033","2","0","NA","0","","0","NA","0",""
"10034","2","0","NA","0","","0","NA","0",""
"10035","2","0","NA","0","","0","NA","0",""
"10036","2","0","NA","0","","0","NA","0",""
"10037","2","0","NA","0","","0","NA","0",""
"10038","2","0","NA","0","","0","NA","0",""
"10039","2","0","NA","0","","0","NA","0",""
"11001","2","0","NA","0","","0","NA","0",""
"11002","2","0","NA","0","","0","NA","0",""
"11003","2","0","NA","0","","0","NA","0",""
"11004","2","0","NA","0","","0","NA","0",""
"11005","2","0","NA","0","","0","NA","0",""
