ARCHIVO,CONTENIDO
servdren,Servicio de drenaje y alcantarillado a través de una red pública en el municipio o demarcación territorial al cierre del año 2020.
admndren,Prestadores del servicio de drenaje y alcantarillado en el municipio o demarcación territorial al cierre del año 2020.
drenlocs,Nombre de las localidades con servicio de drenaje y alcantarillado durante el año 2020.
