"id_dren","folio","regjurid","dr_ini_a","dr_ter_a","ini_re_a","ter_re_a","ot_publi","ot_priva","ot_socia","ambito"
"7707","12072","1","NA","NA","NA","NA","","","","2"
"7708","12073","1","NA","NA","NA","NA","","","","3"
"7709","12075","1","NA","NA","NA","NA","","","","2"
"7710","12076","1","NA","NA","NA","NA","","","","2"
"7711","12077","1","NA","NA","NA","NA","","","","3"
"7712","12078","1","NA","NA","NA","NA","","","","2"
"7714","12079","1","NA","NA","NA","NA","","","","2"
"7715","12081","1","NA","NA","NA","NA","","","","2"
"7716","24010","4","NA","NA","NA","NA","","","","2"
"7732","28003","4","NA","NA","NA","NA","","","","3"
"7743","13083","1","NA","NA","NA","NA","","","","3"
"7744","13083","3","NA","NA","NA","NA","","","","4"
"7747","8057","1","NA","NA","NA","NA","","","","2"
"7748","14002","1","NA","NA","NA","NA","","","","3"
"7749","24004","1","NA","NA","NA","NA","","","","2"
"7751","14088","1","NA","NA","NA","NA","","","","2"
"7752","8065","1","NA","NA","NA","NA","","","","3"
"7754","14108","1","NA","NA","NA","NA","","","","1"
"7755","8011","6","NA","NA","NA","NA","","","","2"
"7759","24032","1","NA","NA","NA","NA","","","","2"
"7760","24034","1","NA","NA","NA","NA","","","","2"
"7761","24040","4","NA","NA","NA","NA","","","","2"
"7763","24048","4","NA","NA","NA","NA","","","","2"
"7764","24052","1","NA","NA","NA","NA","","","","2"
"7765","24057","1","NA","NA","NA","NA","","","","2"
"7769","15060","4","NA","NA","NA","NA","","","","1"
"7771","11014","4","NA","NA","NA","NA","","","","3"
"7772","11035","4","NA","NA","NA","NA","","","","2"
"7773","28026","6","NA","NA","NA","NA","","","","2"
"7774","28029","4","NA","NA","NA","NA","","","","2"
"7775","28031","1","NA","NA","NA","NA","","","","2"
"7782","10010","1","NA","NA","NA","NA","","","","2"
"7783","28033","6","NA","NA","NA","NA","","","","2"
"7784","24055","1","NA","NA","NA","NA","","","","2"
"7785","24051","1","NA","NA","NA","NA","","","","2"
"7787","24012","1","NA","NA","NA","NA","","","","2"
"7789","24016","4","NA","NA","NA","NA","","","","2"
"7790","29006","1","NA","NA","NA","NA","","","","2"
"7791","29006","11","NA","NA","NA","NA","","","","4"
"7792","24013","4","NA","NA","NA","NA","","","","3"
"7795","23010","6","NA","NA","NA","NA","","","","2"
"7796","24017","1","NA","NA","NA","NA","","","","2"
"7798","24041","1","NA","NA","NA","NA","","","","3"
"7799","28037","4","NA","NA","NA","NA","","","","2"
"7800","24045","1","NA","NA","NA","NA","","","","2"
"7801","24049","1","NA","NA","NA","NA","","","","2"
"7802","24053","4","NA","NA","NA","NA","","","","3"
"7803","24056","4","NA","NA","NA","NA","","","","2"
"7809","24022","1","NA","NA","NA","NA","","","","3"
"7810","24024","4","NA","NA","NA","NA","","","","2"
"7813","24036","1","NA","NA","NA","NA","","","","2"
"7814","24039","1","NA","NA","NA","NA","","","","2"
"7815","1009","1","NA","NA","NA","NA","","","","1"
"7816","24043","1","NA","NA","NA","NA","","","","2"
"7817","24026","1","NA","NA","NA","NA","","","","2"
"7820","18009","4","NA","NA","NA","NA","","","","3"
"7822","29006","11","NA","NA","NA","NA","","","","4"
"7823","29006","11","NA","NA","NA","NA","","","","4"
"7824","29006","11","NA","NA","NA","NA","","","","4"
"7825","29006","11","NA","NA","NA","NA","","","","4"
"7826","29006","11","NA","NA","NA","NA","","","","4"
"7827","29006","11","NA","NA","NA","NA","","","","4"
"7843","21197","1","NA","NA","NA","NA","","","","2"
"7844","24021","1","NA","NA","NA","NA","","","","2"
"7845","17022","1","NA","NA","NA","NA","","","","1"
"7846","1004","4","NA","NA","NA","NA","","","","1"
"7848","24030","1","NA","NA","NA","NA","","","","3"
"7849","1001","4","NA","NA","NA","NA","","","","1"
"7850","14041","1","NA","NA","NA","NA","","","","3"
"7852","21192","1","NA","NA","NA","NA","","","","2"
"7854","21191","1","NA","NA","NA","NA","","","","1"
"7857","24035","5","NA","NA","NA","NA","","","","3"
"7858","30016","4","NA","NA","NA","NA","","","","3"
"7862","21185","1","NA","NA","NA","NA","","","","1"
"7863","15085","4","NA","NA","NA","NA","","","","3"
"7865","28027","4","NA","NA","NA","NA","","","","2"
"7881","30021","1","NA","NA","NA","NA","","","","3"
"7882","2001","6","NA","NA","NA","NA","","","","1"
"7883","24042","4","NA","NA","NA","NA","","","","2"
"7886","30030","6","NA","NA","NA","NA","","","","3"
"7888","19001","6","NA","NA","NA","NA","","","","1"
"7889","19002","6","NA","NA","NA","NA","","","","1"
"7891","21182","1","NA","NA","NA","NA","","","","1"
"7893","28028","4","NA","NA","NA","NA","","","","2"
"7895","28030","6","NA","NA","NA","NA","","","","3"
"7897","19022","6","NA","NA","NA","NA","","","","1"
"7898","14042","1","NA","NA","NA","NA","","","","3"
"7899","28032","4","NA","NA","NA","NA","","","","3"
"7902","10011","4","NA","NA","NA","NA","","","","2"
"7903","28034","6","NA","NA","NA","NA","","","","2"
"7905","18002","4","NA","NA","NA","NA","","","","2"
"7906","18002","13","NA","NA","NA","NA","","","","4"
"7915","7004","1","NA","NA","NA","NA","","","","2"
"7916","30032","6","NA","NA","NA","NA","","","","2"
"7918","21010","1","NA","NA","NA","NA","","","","2"
"7919","19028","6","NA","NA","NA","NA","","","","1"
"7920","20022","1","NA","NA","NA","NA","","","","2"
"7921","24014","1","NA","NA","NA","NA","","","","2"
"7922","21179","4","NA","NA","NA","NA","","","","2"
"7925","17001","1","NA","NA","NA","NA","","","","1"
"7926","1010","1","NA","NA","NA","NA","","","","1"
"7928","17002","1","NA","NA","NA","NA","","","","1"
"7929","21013","1","NA","NA","NA","NA","","","","2"
"7930","28038","6","NA","NA","NA","NA","","","","1"
"7932","21217","1","NA","NA","NA","NA","","","","1"
"7935","17015","1","NA","NA","NA","NA","","","","2"
"7936","17021","1","NA","NA","NA","NA","","","","1"
"7938","14104","1","NA","NA","NA","NA","","","","1"
"7939","30055","1","NA","NA","NA","NA","","","","2"
"7944","14061","1","NA","NA","NA","NA","","","","1"
"7945","24046","1","NA","NA","NA","NA","","","","3"
"7946","32005","4","NA","NA","NA","NA","","","","3"
"7947","32016","1","NA","NA","NA","NA","","","","3"
"7948","32027","1","NA","NA","NA","NA","","","","3"
"7949","32028","1","NA","NA","NA","NA","","","","3"
"7950","10002","1","NA","NA","NA","NA","","","","3"
"7951","30045","6","NA","NA","NA","NA","","","","3"
"7953","24050","4","NA","NA","NA","NA","","","","2"
"7955","28039","5","NA","NA","NA","NA","","","","2"
"7957","32040","1","NA","NA","NA","NA","","","","2"
"7959","32045","1","NA","NA","NA","NA","","","","3"
"7960","30082","6","NA","NA","NA","NA","","","PUBLICO","2"
"7961","8017","6","NA","NA","NA","NA","","","","2"
"7964","8021","6","NA","NA","NA","NA","","","","3"
"7966","8027","6","NA","NA","NA","NA","","","","2"
"7967","30130","1","NA","NA","NA","NA","","","","2"
"7969","30133","6","NA","NA","NA","NA","","","","2"
"7970","10015","4","NA","NA","NA","NA","","","","2"
"7971","10017","4","NA","NA","NA","NA","","","","3"
"7972","10018","4","NA","NA","NA","NA","","","","2"
"7973","30143","6","NA","NA","NA","NA","","","","2"
"7974","10019","1","NA","NA","NA","NA","","","","2"
"7975","30151","1","NA","NA","NA","NA","","","","2"
"7976","17012","4","NA","NA","NA","NA","","","","3"
"7979","17025","4","NA","NA","NA","NA","","","","2"
"7980","17026","1","NA","NA","NA","NA","","","","1"
"7981","11044","4","NA","NA","NA","NA","","","","2"
"8002","14065","1","NA","NA","NA","NA","","","","3"
"8003","17030","1","NA","NA","NA","NA","","","","2"
"8006","14057","1","NA","NA","NA","NA","","","","3"
"8007","14093","4","NA","NA","NA","NA","","","","3"
"8008","28040","3","NA","NA","NA","NA","","","","3"
"8011","28043","6","NA","NA","NA","NA","","","","3"
"8014","10029","1","NA","NA","NA","NA","","","","2"
"8017","28042","1","NA","NA","NA","NA","","","","2"
"8019","10013","4","NA","NA","NA","NA","","","","3"
"8020","32056","5","NA","NA","NA","NA","","","","3"
"8022","16007","4","NA","NA","NA","NA","","","","2"
"8023","16017","4","NA","NA","NA","NA","","","","2"
"8024","16037","4","NA","NA","NA","NA","","","","2"
"8025","10034","4","NA","NA","NA","NA","","","","2"
"8026","10037","1","NA","NA","NA","NA","","","","2"
"8027","16041","4","NA","NA","NA","NA","","","","3"
"8028","16046","1","NA","NA","NA","NA","","","","2"
"8029","16048","4","NA","NA","NA","NA","","","","2"
"8031","16065","4","NA","NA","NA","NA","","","","2"
"8032","16066","4","NA","NA","NA","NA","","","","2"
"8034","16080","4","NA","NA","NA","NA","","","","2"
"8035","16087","4","NA","NA","NA","NA","","","","3"
"8036","16088","4","NA","NA","NA","NA","","","","1"
"8037","16092","1","NA","NA","NA","NA","","","","2"
"8038","16095","4","NA","NA","NA","NA","","","","2"
"8039","16102","4","NA","NA","NA","NA","","","","2"
"8040","30162","1","NA","NA","NA","NA","","","","2"
"8041","16064","4","NA","NA","NA","NA","","","","2"
"8061","6010","5","NA","NA","NA","NA","","","","1"
"8062","6007","4","NA","NA","NA","NA","","","","3"
"8063","6005","4","NA","NA","NA","NA","","","","3"
"8064","6003","4","NA","NA","NA","NA","","","","3"
"8066","24020","4","NA","NA","NA","NA","","","","2"
"8067","24033","1","NA","NA","NA","NA","","","","2"
"8068","14085","1","NA","NA","NA","NA","","","","3"
"8070","14059","4","NA","NA","NA","NA","","","","3"
"8071","14107","1","NA","NA","NA","NA","","","","3"
"8074","23004","6","NA","NA","NA","NA","","","","3"
"8081","30168","1","NA","NA","NA","NA","","","","2"
