"folio","serv_dre","dren_cab","no_saben","dren_plu","prodrplu","pr_plu_e","trat_plu","tra_apli","usoprinc","uso_e_pr","plu_suel","plu_rios","plu_mar","plu_play","plu_este","plu_lago","plu_terr","plu_otro","plu_o_es","dren_ext","ext_reha","ext_sani","ext_dren","ext_cole","tot_conx","con_cabe","conx_loc","conx_dom","conx_ind","conx_com","conx_pub","conx_mix","conx_tot","prest_nu"
"1001","1","98","","1","1","","0","0","0","0","","","","","","","","","0","","","4.866","4.866","974","324115","NSS","NSS","302574","20372","319","850","NA","324115","1"
"1002","1","80","","2","0","","0","","0","","","","","","","","","","","","","7087.41","85","85","13738","1300","12438","13713","","25","","","13738","1"
"1003","1","98","","1","2","","2","","0","","","1","","","","","","","","1.3","","227.8","1.52","","19288","8809","10479","17586","11","1691","NA","NA","19288","1"
"1004","1","98","","2","0","","0","","0","","","","","","","","","","","","","400","400","NSS","4333","1618","2715","4300","1","32","","","4333","1"
"1005","1","96","","1","1","","2","","0","","","1","","","","","","","","13","","101.6","NSS","NSS","34851","20902","13949","32340","337","2171","3","","34851","1"
"1006","1","95","","1","2","","2","","0","","","1","","","","","","","","4.5","0.25","3.5","3","0.5","12504","9700","2804","12157","116","231","NA","NA","12504","1"
"1007","1","60","","2","0","","0","","0","","","","","","","","","","","","","160","0.75","0.6","16770","10526","6244","16236","13","391","37","93","16770","1"
"1008","1","97","","2","0","","0","","0","","","","","","","","","","","","","84","5","2","2383","1416","967","2355","22","6","NA","NA","2383","1"
"1009","1","98","","2","0","","0","","0","","","","","","","","","","","","","48.5","6","NA","7370","1753","5617","7370","","","","","7370","1"
"1010","1","72","","2","0","","0","","0","","","","","","","","","","","","","326","NSS","","5147","NSS","NSS","5048","3","28","68","","5147","1"
"1011","1","98","","1","1","","2","","0","","","1","","","","","","","","3.5","","300","2.53","2","17609","7384","10225","17117","52","345","89","6","17609","1"
"2001","1","59","","1","1","","2","","0","","","1","1","1","1","","","","","NSS","NSS","978","105","NSS","112029","NSS","NSS","102456","370","8656","547","","112029","1"
"2002","1","84","","1","1","","2","","0","","","","","","","","","1","DRENES AGRICOLAS (151 KM) QUE LLEGAN AL RIO NUEVO","1000.67","0.12","3293","0.531","","315632","296969","18663","294143","216","19690","1583","NA","315632","1"
"2003","1","79","","2","0","","0","","0","","","","","","","","","","","","","322","","","31503","31502","1","28910","2180","195","216","2","31503","1"
"2004","1","89.6","","1","1","","0","0","0","0","","","","","","","","","0","","","4013","1050","232","578966","NSS","NSS","543226","2790","31236","1714","","578966","1"
"2005","1","97","","2","0","","0","","0","","","","","","","","","","","","","896.25","16","5","29911","NSS","NSS","27589","109","2061","152","NA","29911","1"
"2006","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3001","1","85","","2","0","","0","","0","","","","","","","","","","","","","291.6","NSS","NSS","17055","14015","3040","15503","30","1510","12","NA","17055","1"
"3002","1","38","","2","0","","0","","0","","","","","","","","","","","","","NSS","0.582","NSS","5629","3742","1887","5170","48","411","","","5629","1"
"3003","1","92","","2","0","","0","","0","","","","","","","","","","","","","825","19.7","0.3","99859","98223","1636","93468","6113","278","","","99859","1"
"3008","1","66","","2","0","","0","","0","","","","","","","","","","","","","818","3.5","5","65422","30165","35257","57965","670","6787","","","65422","1"
"3009","1","80","","2","0","","0","","0","","","","","","","","","","","","","101.35","2.24","NSS","7822","7482","340","6870","77","875","","","7822","1"
"4001","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4002","1","60","","1","1","","2","","0","","","","1","","","","","","","30","","30","","","50","50","","","50","","","","50","1"
"4003","1","3","","1","1","","2","","0","","","1","","","","","","","","130","15","150","12","10","11000","","","11000","","","","","11000","1"
"4004","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4005","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4006","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4007","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4008","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4009","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4010","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4011","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4012","0","","","0","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5001","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5002","1","95","","2","0","","0","0","0","0","","","","","","","","","0","","","586.26979","1","0.7","54207","53950","257","47023","315","1516","457","2881","52192","1"
"5003","1","97","","2","0","","0","","0","","","","","","","","","","","","","NSS","NA","NSS","8102","8102","NA","7761","NA","333","8","NA","8102","1"
"5004","1","90","","2","0","","0","","0","","","","","","","","","","","","","NSS","NSS","NSS","3132","3132","","NA","NA","NA","NA","NA","NA","1"
"5005","1","80","","2","0","","0","","0","","","","","","","","","","","","","10","NA","NA","320","320","NA","320","NA","NA","NA","NA","320","1"
"5006","1","40","","2","0","","0","","0","","","","","","","","","","","","","33.35","NA","NA","991","991","","NA","NA","NA","NA","NA","33353","1"
"5007","1","90","","2","0","","0","","0","","","","","","","","","","","","","10","0.505","NA","4168","4168","NA","3870","11","232","55","NA","4168","1"
"5008","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5009","1","70","","2","0","","0","","0","","","","","","","","","","","","","75.86","1","NA","9609","9313","296","8731","NA","878","NA","NA","9609","1"
"5010","1","87","","1","1","","0","0","0","0","","","","","","","","","0","","","534.921","3.39","0.65","85904","36","85868","81446","125","3864","467","2","85904","1"
"5011","1","90","","2","0","","0","","0","","","","","","","","","","","","","30","30","NA","1953","NA","NA","1816","19","118","NA","NA","1953","1"
"5012","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5013","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5014","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5015","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5016","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5017","1","97","","2","0","","0","","0","","","","","","","","","","","","","47.5","1.5","","21810","19421","2389","20681","111","1018","","","21810","1"
"5018","1","87","","1","1","","0","0","0","0","","","","","","","","","0","","","534.921","3.39","0.65","85904","36","85868","81446","125","3864","467","2","85904","1"
"5019","1","50","","2","0","","0","","0","","","","","","","","","","","","","5","","","1718","1718","NA","1663","1","41","13","","1718","1"
"5020","1","","1","2","0","","0","","0","","","","","","","","","","","","","NSS","0.314","NA","11656","11656","","11202","NA","454","NA","NA","11656","1"
"5021","1","95","","2","0","","0","","0","","","","","","","","","","","","","NSS","","","2048","2048","","2041","NA","7","NA","NA","2048","1"
"5022","1","95","","2","0","","0","","0","","","","","","","","","","","","","NSS","3","2","9205","8736","469","9893","1","28","NA","NA","9922","1"
"5023","1","93","","2","0","","0","","0","","","","","","","","","","","","","30","","","1680","1680","","1677","3","","","","1680","1"
"5024","1","95","","2","0","","0","","0","","","","","","","","","","","","","ND","0.524","0.369","13245","13245","NA","12616","4","625","NA","NA","13245","1"
"5025","1","98","","2","0","","0","","0","","","","","","","","","","","","","1128","408","105","NSS","NSS","NSS","47582","79","2315","151","9627","59754","1"
"5026","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5027","1","100","","1","1","","0","0","0","0","","","","","","","","","0","","","276.5","0.3","0.2","30645","30645","NA","28986","263","1350","46","","30645","1"
"5028","1","95","","1","1","","2","","0","","","1","","","","","","","","0.7","","30.6","1.92","0.8","19213","18447","766","18116","12","969","116","NA","19213","1"
"5029","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5030","1","97","","1","1","","0","0","0","0","","","","","","","","","0","","","2074","26","NA","261084","261084","NA","246391","197","13187","1309","NA","261084","1"
"5031","1","55","","2","0","","0","","0","","","","","","","","","","","","","175","","","5165","5165","","4986","1","157","21","","5165","1"
"5032","1","90","","2","0","","0","","0","","","","","","","","","","","","","NSS","","","20373","NA","NA","12786","5","808","25","","13624","1"
"5033","1","70","","2","0","","0","","0","","","","","","","","","","","","","NSS","NSS","NSS","16045","13733","2312","15171","176","555","143","NA","16045","1"
"5034","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5035","1","97.8","","1","1","","2","","0","","","","","","","","1","","","40","","1648","26.1","2.2","208214","208214","NA","193480","1115","12961","658","NA","208214","1"
"5036","1","85","","2","0","","0","","0","","","","","","","","","","","","","8203","0.2","","841","390","451","NA","NA","NA","NA","NA","NA","1"
"5037","1","10","","2","0","","0","","0","","","","","","","","","","","","","NSS","","","2524","2524","","25","","","","","25","1"
"5038","1","97.5","","2","0","","0","","0","","","","","","","","","","","","","NSS","","","3453","3453","","3392","3","40","18","","3453","1"
"6001","1","45","","2","0","","0","","0","","","","","","","","","","","","","159","","","7474","5062","2412","6776","21","677","","","7474","1"
"6002","1","98","","1","1","","2","","0","","","1","","","","","","","","NSS","NSS","672.1616","1","0.3","70217","66689","3528","62111","595","5399","852","1260","70217","1"
"6003","1","85","","1","1","","2","","0","","","1","","","","","","","","ND","","95","2","","5460","5295","ND","4929","","308","166","57","5460","1"
"6004","1","96.01","","2","0","","0","","0","","","","","","","","","","","","","68.01","1","1","7847","5716","2131","7670","66","104","1","2","7843","1"
"6005","1","99.5","","1","1","","2","","0","","","1","","","","","","","","4.99","","152.66","3.04","1.52","11211","4168","7043","11211","","","","","11211","1"
"6006","1","92","","2","0","","0","","0","","","","","","","","","","","","","41.51","0.82","0.4","2380","1341","1039","2250","","130","","","2380","1"
"6007","1","95","","1","2","","2","","0","","","1","1","","","","","","","15","","700","0.8","1","66017","62630","3687","61510","512","2991","","1004","66017","1"
"6008","1","95","","2","0","","0","","0","","","","","","","","","","","","","32526","1","","2190","ND","ND","1887","","303","","","2190","1"
"6009","1","98","","2","0","","0","","0","","","","","","","","","","","","","271","0.6","0.4","41646","33505","8141","39193","103","2104","246","","41646","1"
"6010","1","98","","1","1","","2","","0","","","1","","","","","","","","NSS","NSS","487.48","0.4","0.1","65505","65287","218","61650","343","2383","378","751","65505","1"
"7001","1","80","","2","0","","0","","0","","","","","","","","","","","","","10","1","","4800","4800","","4800","","","","","4800","1"
"7002","1","90","","1","1","","2","","0","","","1","","","","","","","","0.7","","1.5","","","3000","3000","","3000","","","","","3000","1"
"7003","1","90","","2","0","","0","","0","","","","","","","","","","","","","8","1","","1600","1600","","1600","","","","","1600","1"
"7004","1","100","","1","1","","2","","0","","","1","","","","","","","","4","1.5","12","2","1.5","2545","2545","","2545","","","","","2545","1"
"7005","1","15","","2","0","","0","","0","","","","","","","","","","","","","15","","","1650","825","825","1650","","","","","1650","1"
"7006","1","70","","2","0","","0","","0","","","","","","","","","","","","","2","0.7","","178","178","","178","","","","","178","1"
"7007","1","80","","2","0","","0","","0","","","","","","","","","","","","","26.56","1.58","","NSS","NSS","NSS","NSS","","","","","","1"
"7008","1","95","","2","0","","0","","0","","","","","","","","","","","","","43","0.5","","5050","5050","","5050","","","","","5050","1"
"7009","1","70","","2","0","","0","","0","","","","","","","","","","","","","70","2","","8099","8099","","7529","","570","","","8099","1"
"7010","1","100","","2","0","","0","","0","","","","","","","","","","","","","13","0.5","","81","81","","75","","","6","","81","1"
"7011","1","50","","2","0","","0","","0","","","","","","","","","","","","","3","0.1","","400","400","","380","","","20","","400","1"
"7012","1","","1","2","0","","0","","0","","","","","","","","","","","","","144","0.5","","10903","8613","2290","10903","","","","","10903","1"
"7013","1","90","","2","0","","0","","0","","","","","","","","","","","","","3","0.5","","3000","3000","","2875","35","65","25","","3000","1"
"7014","1","25","","2","0","","0","","0","","","","","","","","","","","","","4","4","","2000","2000","","2000","","","","","2000","1"
"7015","1","80","","2","0","","0","","0","","","","","","","","","","","","","11.5","2","","5000","5000","","4950","2","48","","","5000","1"
"7016","1","80","","1","1","","2","","0","","","1","","","","","","","","6","","6","1","","1145","1145","","1145","","20","20","","1185","1"
"7017","1","70","","2","0","","0","","0","","","","","","","","","","","","","90","90","90","1857","1857","","1573","20","257","","","1857","1"
"7018","1","60","","2","0","","0","","0","","","","","","","","","","","","","2","","","3000","3000","","3000","","","","","3000","1"
"7019","1","90","","1","1","","2","","0","","1","","","","","","","","","NSS","","117","","","34448","34448","","34000","","448","","","34448","1"
"7020","1","90","","2","0","","0","","0","","","","","","","","","","","","","40","","","2611","2611","","2611","","","","","2611","1"
"7021","1","60","","2","0","","0","","0","","","","","","","","","","","","","3","1","","4000","4000","","4000","","","","","4000","1"
"7022","1","50","","2","0","","0","","0","","","","","","","","","","","","","6","","","1264","1264","","1264","","","","","1264","1"
"7023","1","80","","2","0","","0","","0","","","","","","","","","","","","","NSS","NSS","NSS","2300","2300","","2300","","","","","2300","1"
"7024","1","70","","1","1","","2","","0","","","1","","","","","","","","NSS","NSS","NSS","NSS","NSS","1300","1300","NSS","1300","","","","","1300","1"
"7025","1","100","","2","0","","0","","0","","","","","","","","","","","","","1","","","1000","500","500","1000","","","","","1000","1"
"7026","1","40","","2","0","","0","","0","","","","","","","","","","","","","7","","","2000","2000","","2000","","","","","2000","1"
"7027","1","70","","1","1","","0","0","0","0","","","","","","","","","0","","","25.95","3.52","10.3","12698","8650","4048","12403","50","190","","55","12698","1"
"7028","1","90","","2","0","","0","","0","","","","","","","","","","","","","15","0.5","","1400","1400","","1400","","","","","1400","1"
"7029","1","80","","2","0","","0","","0","","","","","","","","","","","","","6","1","0.5","500","500","","500","","","","","500","1"
"7030","1","70","","2","0","","0","","0","","","","","","","","","","","","","10","","","1350","1350","","1350","","","","","1350","1"
"7031","1","100","","1","2","","2","","0","","","1","","","","","","","","6.5","2.2","42","4","","3350","3350","","3350","","","","","3350","1"
"7032","1","95","","1","1","","0","0","0","0","","","","","","","","","0","","","18","1","0.5","2300","2300","","2015","4","20","11","250","2300","1"
"7033","1","95","","2","0","","0","","0","","","","","","","","","","","","","10","7","","232","232","","232","","","","","232","1"
"7034","1","70","","2","0","","0","","0","","","","","","","","","","","","","15","","","4700","4700","","4700","","","","","4700","1"
"7035","1","50","","2","0","","0","","0","","","","","","","","","","","","","8","2","","1300","1100","200","1300","","","","","1300","1"
"7036","1","30","","2","0","","0","","0","","","","","","","","","","","","","3.5","","","315","315","","315","","","","","315","1"
"7037","1","90","","1","1","","2","","0","","1","","","","","","","","","20","5","30","10","","20","20","","20","","","","","20","1"
"7038","1","80","","1","2","","2","","0","","","1","","","","","","","","2","","6","","","620","620","","620","","","","","620","1"
"7039","1","80","","2","0","","0","","0","","","","","","","","","","","","","5","","","1000","1000","","1000","","","","","1000","1"
"7040","1","90","","2","0","","0","","0","","","","","","","","","","","","","2","2","","70","50","20","60","","10","","","70","1"
"7041","1","80","","1","2","","2","","0","","","1","","","","","","","","14","","17","3","","800","800","","800","","","","","800","1"
"7042","1","50","","1","2","","2","","0","","","","","","","","","1","CARCAMO","5","1","8","1","","350","350","","350","","","","","350","1"
"7043","1","100","","1","1","","2","","0","","","1","","","","","","","","1","","20","","","4000","2200","1800","4000","","","","","4000","1"
"7044","1","60","","2","0","","0","","0","","","","","","","","","","","","","5","5","","2500","2500","","2500","","","","","2500","1"
"7045","1","76","","2","0","","0","","0","","","","","","","","","","","","","6.76","","","931","528","403","931","","","","","931","1"
"7046","1","80","","2","0","","0","","0","","","","","","","","","","","","","30","7","12","3000","3000","","3000","","","","","3000","1"
"7047","1","90","","2","0","","0","","0","","","","","","","","","","","","","10","2","1","1000","1000","","870","","50","80","","1000","1"
"7048","1","70","","1","1","","0","0","0","0","","","","","","","","","0","","","25","1","","4800","3000","1800","4800","","","","","4800","1"
"7049","1","13","","2","0","","0","","0","","","","","","","","","","","","","5","1","1","1200","1200","","1200","","","","","1200","1"
"7050","1","60","","1","1","","0","0","0","0","","","","","","","","","0","","","8","1","","2800","2800","","2780","","20","","","2800","1"
"7051","1","90","","1","1","","2","","0","","","1","","","","","","","","4","0.4","35","0.782","","5697","5697","","5416","2","225","54","","5697","1"
"7052","1","90","","2","0","","0","","0","","","","","","","","","","","","","320","","","9100","9100","","9070","","30","","","9100","1"
"7053","1","100","","2","0","","0","","0","","","","","","","","","","","","","3.5","","","489","489","","489","","","","","489","1"
"7054","1","90","","2","0","","0","","0","","","","","","","","","","","","","26.24","1.2","","2506","2506","","2500","","","6","","2506","1"
"7055","1","45","","2","0","","0","","0","","","","","","","","","","","","","9","","","745","432","313","745","","","","","745","1"
"7056","1","60","","2","0","","0","","0","","","","","","","","","","","","","5","","","380","380","","380","","","","","380","1"
"7057","1","80","","2","0","","0","","0","","","","","","","","","","","","","5.082","21","","6385","5750","635","6295","","75","15","","6385","1"
"7058","1","95","","2","0","","0","","0","","","","","","","","","","","","","10","1.8","","1500","1500","","1488","","","12","","1500","1"
"7059","1","75","","1","1","","2","","0","","","1","","","","","","","","5.5","2.5","37","1.5","1","11250","11250","","11250","","","","","11250","1"
"7060","1","70","","2","0","","0","","0","","","","","","","","","","","","","6","6","","1274","892","382","1274","","","","","1274","1"
"7061","1","90","","2","0","","0","","0","","","","","","","","","","","","","80","10","","14500","11900","2600","10800","1000","2000","100","","13900","1"
"7062","1","85","","2","0","","0","","0","","","","","","","","","","","","","14","","","800","800","","800","","","","","800","1"
"7063","1","90","","1","3","","2","","0","","","1","","","","","","","","1","0.2","2","1","","165","165","","155","","","10","","165","1"
"7064","1","70","","1","1","","2","","0","","","","","","","","","1","CUEVA O SUMIDERO","1.5","","5","","","1950","1950","","1950","","","","","1950","1"
"7065","1","95","","2","0","","0","","0","","","","","","","","","","","","","708","10","","9122","9122","","8206","","916","","","9122","1"
"7066","1","33","","2","0","","0","","0","","","","","","","","","","","","","4.5","3.5","1","1408","1408","","1408","","","","","1408","1"
"7067","1","50","","1","1","","2","","0","","","1","","","","","","","","1","","2","","","1500","1500","","1500","","","","","1500","1"
"7068","1","90","","1","1","","2","","0","","1","1","","","","","","","","120","20","230","10","5","6000","6000","","5700","","300","","","6000","1"
"7069","1","90","","2","0","","0","","0","","","","","","","","","","","","","10","10","5","6000","6000","","5760","40","200","","","6000","1"
"7070","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7071","1","60","","2","0","","0","","0","","","","","","","","","","","","","12","2","1","100","100","","100","","","","","100","1"
"7072","1","70","","2","0","","0","","0","","","","","","","","","","","","","11","1","","2000","1500","500","2000","","","","","2000","1"
"7073","1","80","","1","1","","2","","0","","","1","","","","","","","","1","","10","1","","3200","2700","500","3200","","","","","3200","1"
"7074","1","85","","1","1","","2","","0","","","1","","","","","","","","12","4.5","30","4.5","","22300","20000","2300","12000","4000","5500","800","","22300","1"
"7075","1","90","","2","0","","0","","0","","","","","","","","","","","","","122","10","","7068","7068","","7068","","","","","7068","1"
"7076","1","100","","1","1","","2","","0","","","1","","","","","","","","1.5","","3","0.3","0.2","800","800","","800","","","","","800","1"
"7077","1","80","","2","0","","0","","0","","","","","","","","","","","","","6","","","1871","1871","","1871","","","","","1871","1"
"7078","1","90","","1","1","","2","","0","","","1","","","","","","","","14.5","0.36","13.5","","","41790","41790","","39303","16","2321","150","NA","41790","1"
"7079","1","85","","2","0","","0","","0","","","","","","","","","","","","","39.3","35.8","3.5","4277","2438","1839","4014","8","140","40","75","4277","1"
"7080","1","30","","2","0","","0","","0","","","","","","","","","","","","","12","12","","850","850","","850","","","","","850","1"
"7081","1","60","","2","0","","0","","0","","","","","","","","","","","","","8","8","","2000","2000","","2000","","","","","2000","1"
"7082","1","70","","2","0","","0","","0","","","","","","","","","","","","","6","1","1","700","700","","700","","","","","700","1"
"7083","1","95","","2","0","","0","","0","","","","","","","","","","","","","58","58","","3000","2300","700","3000","","","","","3000","1"
"7084","1","40","","2","0","","0","","0","","","","","","","","","","","","","28","10","2","1800","300","1500","1800","","","","","1800","1"
"7085","1","60","","2","0","","0","","0","","","","","","","","","","","","","5","5","","3500","3500","","3500","","","","","3500","1"
"7086","1","85","","2","0","","0","","0","","","","","","","","","","","","","28.5","3","","16350","16350","","16350","","","","","16350","1"
"7087","1","60","","1","1","","2","","0","","","1","","","","","","","","7","1","5","2","2","511","511","","505","","6","","","511","1"
"7088","1","90","","2","0","","0","","0","","","","","","","","","","","","","2","1","0.5","200","100","100","200","","","","","200","1"
"7089","1","92.5","","1","1","","2","","0","","","1","","","","","","","","40","","285","14.39","3.6","69862","69089","773","61150","714","7393","158","447","69862","1"
"7090","1","70","","1","1","","0","0","0","0","","","","","","","","","0","","","6","2","","1000","1000","","100","","","","","100","1"
"7091","1","80","","2","0","","0","","0","","","","","","","","","","","","","8","1","1","2500","1000","1500","2500","","","","","2500","1"
"7092","1","70","","2","0","","0","","0","","","","","","","","","","","","","120","1.5","","7500","2500","5000","7500","","","","","7500","1"
"7093","1","100","","2","0","","0","","0","","","","","","","","","","","","","3","","","700","700","","700","","","","","700","1"
"7094","1","80","","2","0","","0","","0","","","","","","","","","","","","","6.5","","","7500","7500","","7500","","","","","7500","1"
"7096","1","75","","2","0","","0","","0","","","","","","","","","","","","","160","","","1839","","1839","1839","","","","","1839","1"
"7097","1","92","","2","0","","0","","0","","","","","","","","","","","","","120","2","2.5","9786","9786","","9480","","226","80","","9786","1"
"7098","1","90","","2","0","","0","","0","","","","","","","","","","","","","2.5","0.2","","1800","1800","","1800","","","","","1800","1"
"7099","1","80","","2","0","","0","","0","","","","","","","","","","","","","20","6","","2500","2500","","2500","","","","","2500","1"
"7100","1","100","","2","0","","0","","0","","","","","","","","","","","","","2","","","2000","2000","","2000","","","","","2000","1"
"7101","1","90","","1","1","","0","0","0","0","","","","","","","","","0","","","1800","6.99","0.72","137484","136757","727","125145","1020","10059","1260","","137484","1"
"7102","1","80","","2","0","","0","","0","","","","","","","","","","","","","33.65","1.85","","3787","3050","737","3515","9","129","69","65","3787","1"
"7103","1","90","","2","0","","0","","0","","","","","","","","","","","","","23","23","","1900","1100","800","1550","50","290","10","","1900","1"
"7104","1","30","","2","0","","0","","0","","","","","","","","","","","","","NSS","0.2","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1"
"7105","1","93.19","","2","0","","0","","0","","","","","","","","","","","","","3","0.3","","3215","600","2615","3215","","","","","3215","1"
"7106","1","90","","2","0","","0","","0","","","","","","","","","","","","","2000","1","","4861","4199","662","4083","","553","225","","4861","1"
"7107","1","80","","2","0","","0","","0","","","","","","","","","","","","","22","1","","3400","3400","","3398","","2","","","3400","1"
"7108","1","90","","1","1","","2","","0","","","1","","","","","","","","NSS","","200","","","13289","13289","","12504","64","600","121","","13289","1"
"7109","1","80","","1","1","","2","","0","","","1","","","","","","","","6","2","32","6","2","5300","5300","","5300","","","","","5300","1"
"7110","1","95","","2","0","","0","","0","","","","","","","","","","","","","10","1","","1200","950","250","1200","","","","","1200","1"
"7111","1","","1","2","0","","0","","0","","","","","","","","","","","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1"
"7112","1","25","","2","0","","0","","0","","","","","","","","","","","","","8","4","2","25","25","","15","2","6","2","","25","1"
"7113","1","30","","2","0","","0","","0","","","","","","","","","","","","","2","2","","455","455","","455","","","","","455","1"
"7114","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7115","1","80","","2","0","","0","","0","","","","","","","","","","","","","12","0.1","0.1","103","103","","103","","","","","103","1"
"7116","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7117","1","40","","2","0","","0","","0","","","","","","","","","","","","","8","","","518","518","","518","","","","","518","1"
"7118","1","60","","2","0","","0","","0","","","","","","","","","","","","","4","","","700","700","","700","","","","","700","1"
"7119","1","30","","2","0","","0","","0","","","","","","","","","","","","","5","","","300","300","","300","","","","","300","1"
"7120","1","30","","2","0","","0","","0","","","","","","","","","","","","","3.3","0.56","","530","300","230","530","","","","","530","1"
"7121","1","80","","2","0","","0","","0","","","","","","","","","","","","","3.5","","","1100","1100","","1100","","","","","1100","1"
"7122","1","90","","2","0","","0","","0","","","","","","","","","","","","","23","","","4200","2500","1700","3900","","300","","","4200","1"
"7123","1","80","","2","0","","0","","0","","","","","","","","","","","","","30","2","0.5","1144","1144","","1143","","1","","","1144","1"
"7124","1","70","","2","0","","0","","0","","","","","","","","","","","","","12","","","1556","1556","","1556","","","","","1556","1"
"7125","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8001","1","95","","2","0","","0","","0","","","","","","","","","","","","","115","115","16","3557","3557","","3283","1","238","35","","3557","1"
"8002","1","97","","2","0","","0","","0","","","","","","","","","","","","","76","","","9485","9485","","9061","9","266","149","","9485","1"
"8003","1","85","","2","0","","0","","0","","","","","","","","","","","","","20","0.1","","2703","2703","","2447","14","85","33","124","2703","1"
"8004","1","90","","2","0","","0","","0","","","","","","","","","","","","","70","","","9410","700","8710","9278","9","55","40","28","9410","1"
"8005","1","68","","2","0","","0","","0","","","","","","","","","","","","","112.33","","","3740","3740","NA","3433","3","241","63","","3740","1"
"8006","1","92","","2","0","","0","","0","","","","","","","","","","","","","3","","","525","525","NSS","500","","","25","","525","1"
"8007","1","100","","2","0","","0","","0","","","","","","","","","","","","","11","1","","1086","1086","","1048","","20","18","","1086","1"
"8008","1","92","","2","0","","0","","0","","","","","","","","","","","","","5","","","255","255","","243","","12","","","255","1"
"8009","1","35","","2","0","","0","","0","","","","","","","","","","","","","59","1.5","0.5","3348","NSS","NSS","3200","","114","9","25","3348","3"
"8010","1","90","","2","0","","0","","0","","","","","","","","","","","","","14","0.398","","959","959","","940","2","13","4","","959","1"
"8011","1","99","","2","0","","0","","0","","","","","","","","","","","","","200","195","5","17943","17943","NA","16594","88","1004","257","","17943","1"
"8012","1","50","","2","0","","0","","0","","","","","","","","","","","","","80","","","324","324","","324","","","","","324","1"
