"folio","serv_dre","dren_cab","no_saben","dren_plu","prodrplu","pr_plu_e","trat_plu","tra_apli","usoprinc","uso_e_pr","plu_suel","plu_rios","plu_mar","plu_play","plu_este","plu_lago","plu_terr","plu_otro","plu_o_es","dren_ext","ext_reha","ext_sani","ext_dren","ext_cole","tot_conx","con_cabe","conx_loc","conx_dom","conx_ind","conx_com","conx_pub","conx_mix","conx_tot","prest_nu"
"30181","1","86","","2","0","","0","","0","","","","","","","","","","","","","25","5","","1896","","1896","1504","16","358","18","","1896","1"
"30182","1","80","","2","0","","0","","0","","","","","","","","","","","","","23","2","","2200","NSS","NSS","2200","","","","","2200","1"
"30183","1","88","","1","1","","2","","0","","","1","","","","","","","","45","30","38","2","3","8940","8940","","8940","","","","","8940","1"
"30184","1","25","","1","2","","2","","0","","","1","","","","","","","","3","","4","","","400","184","216","390","","","10","","400","1"
"30185","1","60","","1","1","","2","","0","","","1","","","","","","","","0.5","","4.5","1","","600","600","","600","","","","","600","1"
"30186","1","93","","1","1","","2","","0","","","1","","","","","","","","1.16","NA","NSS","0.26","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NA","1"
"30187","1","30","","1","1","","2","","0","","","1","","","","","","","","1","1","6","0.6","NA","350","NA","NA","350","NA","NA","NA","NA","350","1"
"30188","1","85","","1","1","","2","","0","","1","","","","","","","","","0.5","0.1","8","1","","300","115","185","115","","","","","115","1"
"30189","1","58","","1","1","","2","","0","","","1","","","","","","","","3.48","","235.25","0.7","0.04","22800","22794","6","21156","64","1470","110","","22800","1"
"30190","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30191","1","70","","2","0","","0","","0","","","","","","","","","","","","","NSS","","","600","300","300","600","","","","","600","1"
"30192","1","NA","","0","0","","2","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30193","1","79.3","","2","0","","0","","0","","","","","","","","","","","","","71695","12.3","","182937","NSS","NSS","168705","182","13934","116","","182937","1"
"30194","1","80","","2","0","","0","","0","","","","","","","","","","","","","30.627","0.753","","855","855","","855","","","","","855","1"
"30195","1","NA","","0","0","","2","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30196","1","86","","2","0","","0","","0","","","","","","","","","","","","","54","0.5","","4115","1562","2553","3868","13","191","43","","4115","1"
"30197","1","0.6","","2","0","","0","","0","","","","","","","","","","","","","5.6","0.67","","1177","1177","","1177","","","","","1177","1"
"30198","1","10","","2","0","","0","","0","","","","","","","","","","","","","5","5","","175","175","","175","","","","","175","1"
"30199","1","70","","2","0","","0","","0","","","","","","","","","","","","","6","0.5","","NSS","NSS","","NSS","NSS","NSS","NSS","NSS","NSS","1"
"30200","1","35","","2","0","","0","","0","","","","","","","","","","","","","5","","","450","160","290","450","","","","","450","1"
"30201","1","80","","1","2","","2","","0","","1","","","","","","","1","GRIETAS","0.29","0.29","1.12","1.12","","1964","1964","","1957","","7","","","1964","1"
"30202","1","40","","2","0","","0","","0","","","","","","","","","","","","","5","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NA","1"
"30203","1","60","","2","0","","0","","0","","","","","","","","","","","","","10.5","10.5","","3840","2000","1840","3840","","","","","3840","1"
"30204","1","70","","1","1","","0","0","0","0","","","","","","","","","0","","","50","0.15","","7000","6500","500","6350","550","","100","","7000","1"
"30205","1","8","","2","0","","0","","0","","","","","","","","","","","","","5.6","","","1928","1928","","1781","7","122","13","5","1928","1"
"30206","1","40","","2","0","","0","","0","","","","","","","","","","","","","10.5","0.3","","4772","4772","","4368","15","368","21","","4772","1"
"30207","1","80","","2","0","","0","","0","","","","","","","","","","","","","80","80","3","2673","2148","525","2388","18","224","43","","2673","1"
"30208","1","NA","","0","0","","2","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30209","1","100","","2","0","","0","","0","","","","","","","","","","","","","7","NSS","","1200","1200","NSS","NSS","NSS","NSS","NSS","NSS","NA","1"
"30210","1","80","","1","2","","2","","0","","1","","","","","","","","","3","","15","3","","1200","1200","","1200","","","","","1200","1"
"30211","1","90","","1","1","","2","","0","","","1","","","","","","","","4","","120.92","0.51","","84","84","","81","","3","","","84","1"
"30212","1","85","","1","1","","2","","0","","","1","","","","","","","","1.5","1.5","9","0.9","","1000","1000","","1000","","","","","1000","1"
"31001","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31002","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31003","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31004","2","NA","","0","0","","0","","0","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
