"id_local","id_aps","localid","ag_dias","ag_horas"
"8580","9494","97320","7","24"
"8581","9494","97281","7","24"
"8582","9494","97343","7","24"
"8583","9494","97414","7","24"
"8584","9494","97533","7","24"
"8585","9494","97538","7","24"
"8586","9494","97593","7","24"
"8587","9494","97613","7","24"
"8588","9494","97659","7","24"
"8589","9494","97569","7","24"
"8590","9494","97668","7","24"
"8591","9494","97682","7","24"
"8592","9494","97688","7","24"
"8593","9494","97687","7","24"
"8599","1488","300730","7","12"
"8600","1488","300730","2","12"
"8601","1488","300730","5","12"
"8602","1488","300730","2","12"
"8604","13340","157931","NSS","NSS"
"8605","11906","301048","3","3"
"8606","11906","301048","7","14"
"8607","11906","301048","6","9"
"8608","11906","102605","7","23.5"
"8609","11906","301048","7","14"
"8610","11906","102609","3","14"
"8611","11906","102613","6","9"
"8612","11906","102618","7","14"
"8613","11906","102610","1","14"
"8614","11906","102640","7","3"
"8615","11906","102630","4","2"
"8616","11906","102641","6","12"
"8617","11906","102645","7","12"
"8618","11906","102651","3","7"
"8619","11906","102647","7","5"
"8620","11906","102655","3","2"
"8621","11906","102663","6","12"
"8622","11906","102664","6","12"
"8623","11906","102694","7","6"
"8624","11906","102695","7","14"
"8625","11906","102712","7","5"
"8626","11906","102696","3","3"
"8627","11906","102725","4","2"
"8628","11906","102732","7","5"
"8629","11906","102767","7","7"
"8630","11906","102827","7","5"
"8631","11906","102739","7","14"
"8632","11906","102808","7","14"
"8633","11906","102831","7","5"
"8634","11906","102844","3","2"
"8635","13305","191833","NA","NA"
"8636","9935","86682","7","3"
"8637","9935","86652","7","24"
"8638","9935","86694","7","3"
"8639","9935","86709","7","3"
"8640","9935","86683","7","3"
"8641","11226","157251","NSS","NSS"
"8642","11226","157266","NSS","NSS"
"8643","6665","115377","NSS","NSS"
"8644","6665","115373","NSS","NSS"
"8645","6665","115385","NSS","NSS"
"8646","6665","115381","NSS","NSS"
"8647","6665","115386","NSS","NSS"
"8648","6665","115389","NSS","NSS"
"8649","6665","115397","NSS","NSS"
"8650","6665","115377","NSS","NSS"
"8651","10586","193389","4","3"
"8652","10586","193388","3","3"
"8653","10586","193391","3","3"
"8654","10586","193390","2","3"
"8655","10595","193484","7","24"
"8656","10596","193483","7","24"
"8657","9227","108397","1","5"
"8658","9227","108387","6","4"
"8659","11374","301602","7","12"
"8660","11373","157413","6","12"
"8661","1163","68922","7","24"
"8662","1163","300918","7","24"
"8663","1163","68925","7","24"
"8664","1163","68970","7","24"
"8665","9840","87653","7","24"
"8666","9840","87657","7","24"
"8667","9840","87661","7","24"
"8668","8157","300922","7","24"
"8669","8157","300922","7","24"
"8670","8157","70647","7","24"
"8671","8157","300922","7","24"
"8672","8157","70583","7","24"
"8673","13341","140009","5","8"
"8674","13341","139984","5","8"
"8675","13341","139982","5","8"
"8676","13341","139991","5","8"
"8677","13341","139992","5","8"
"8689","1268","79147","7","12"
"8699","1305","80180","7","8"
"8711","10541","192495","7","24"
"8712","10541","192493","7","24"
"8713","9693","156715","6","10"
"8714","12826","156716","6","7"
"8715","12822","156721","6","10"
"8716","9692","156714","6","10"
"8717","12827","156727","6","8"
"8718","9694","156717","6","12"
"8719","12824","156720","6","10"
"8720","6475","115035","7","24"
"8721","6475","115051","7","24"
"8722","6475","115052","7","24"
"8723","6475","115054","7","24"
"8724","6475","115072","7","24"
"8725","12823","156748","6","8"
"8726","12825","156719","6","8"
"8736","9802","157414","5","14"
"8737","9802","157401","5","14"
"8801","4501","147241","7","10"
"8802","4501","147246","7","10"
"8803","4501","147263","7","10"
"8804","4501","147247","7","10"
"8805","4501","147259","7","10"
"8806","4501","147264","7","10"
"8807","8564","154940","7","8"
"8808","8564","154947","7","8"
"8809","8564","154951","7","8"
"8810","8564","154967","7","8"
"8811","8564","154969","7","8"
"8812","8564","154974","7","8"
"8813","8564","154979","7","8"
"8821","9707","157561","3","2"
"8822","12901","157558","3","3"
"8823","12904","157565","4","8"
"8824","10843","157836","5","15"
"8825","10844","157837","5","15"
"8826","9711","157913","4","3"
"8827","9712","157912","4","5"
"8835","10028","158513","7","28"
"8866","6943","141602","6","12"
"8867","6943","141612","6","12"
"8868","6943","141624","6","12"
"8888","8127","302699","7","24"
"8889","8127","302699","7","24"
"8890","8127","302699","7","24"
"8891","8127","302699","7","24"
"8892","8127","302699","7","24"
"8893","8127","302699","7","24"
"8894","8127","302699","7","24"
"8895","8127","302699","7","24"
"8896","8127","302699","7","24"
"8897","8127","302699","7","24"
"8898","8127","302699","7","24"
"8899","8127","302699","7","24"
"8900","8127","302699","7","24"
"8901","8127","302699","7","24"
"8902","8127","302699","7","24"
"8903","8127","302699","7","24"
"8904","8127","302699","7","24"
"8905","8127","302699","7","24"
"8906","8127","302699","7","24"
"8907","8127","302699","7","24"
"8908","8127","302699","7","24"
"8909","8127","302699","7","24"
"8910","8127","302699","7","24"
"8911","8127","302699","7","24"
"8912","8127","302699","7","24"
"8913","8127","302699","7","24"
"8914","8127","246034","7","24"
"8915","8127","246034","7","24"
"8916","8127","246036","7","24"
"8917","8127","246036","7","24"
"8918","8127","246040","7","24"
"8919","8127","246040","7","24"
"8920","8127","246057","7","24"
"8921","8127","246057","7","24"
"8922","8127","246059","7","24"
"8923","8127","246059","7","24"
"8924","8127","246071","7","24"
"8925","8127","246071","7","24"
"8926","8127","246073","7","24"
"8927","8127","246073","7","24"
"8928","8127","246082","7","24"
"8929","8127","246105","7","24"
"8930","8127","246082","7","24"
"8931","8127","246085","7","24"
"8932","8127","246085","7","24"
"8933","8127","246114","7","24"
"8934","8127","246110","7","24"
"8935","8127","246105","7","24"
"8936","8127","246114","7","24"
"8937","8127","246110","7","24"
"8938","8127","246118","7","24"
"8939","8127","246118","7","24"
"8940","8127","246119","7","24"
"8941","8127","246119","7","24"
"8942","8127","246120","7","24"
"8943","8127","246120","7","24"
"8944","8127","246243","7","24"
"8945","8127","246243","7","24"
"8946","8127","246410","7","24"
"8947","8127","246410","7","24"
"8960","9823","253062","",""
"8961","9823","253063","",""
"8962","9823","253060","",""
"8963","9823","253063","",""
"8964","9823","253065","",""
"8965","9823","253070","",""
"8966","9823","253071","",""
"8967","9823","253075","",""
"8968","9823","253072","",""
"8969","9823","253077","",""
"8970","9823","253097","",""
"8971","9823","253084","",""
"8972","9823","253098","",""
"8973","9823","253083","",""
"8974","9823","253109","",""
"8975","9823","253115","",""
"8976","9823","253198","",""
"8977","9823","253231","",""
"8978","9823","253206","",""
"8979","9823","253230","",""
"8980","9823","253271","",""
"8981","9823","253398","",""
"8993","6823","301423","NA","NA"
"8994","6823","301423","NA","NA"
"8995","6823","301423","NA","NA"
"8996","6823","301423","NA","NA"
"8997","6823","301423","NA","NA"
"8998","6823","301423","NA","NA"
"8999","6823","301423","NA","NA"
"9000","6823","301423","NA","NA"
"9001","6823","142179","NA","NA"
"9002","6823","142181","NA","NA"
"9003","6823","142182","NA","NA"
"9004","6823","142189","NA","NA"
"9005","6823","142190","NA","NA"
"9006","6823","142191","NA","NA"
"9007","6823","142192","NA","NA"
"9008","6823","142194","NA","NA"
"9009","9404","302681","NA","NA"
"9010","9404","302681","NA","NA"
"9011","9404","302681","NA","NA"
"9012","9404","302681","NA","NA"
"9013","9404","302681","NA","NA"
"9014","9404","302681","NA","NA"
"9015","9404","302681","NA","NA"
"9016","9404","302681","NA","NA"
"9017","9404","302681","NA","NA"
"9018","9404","302681","NA","NA"
"9019","9404","302681","NA","NA"
"9020","9404","241249","NA","NA"
"9021","9404","241259","NA","NA"
"9022","9404","241276","NA","NA"
"9023","9404","241281","NA","NA"
"9024","9404","241323","NA","NA"
"9025","9404","241352","NA","NA"
"9026","9404","241446","NA","NA"
"9027","9404","241255","NA","NA"
"9038","6694","301447","7","112"
"9039","6694","301447","3","24"
"9040","6694","301447","3","24"
"9041","6694","301447","7","98"
"9042","6694","301447","7","140"
"9043","6694","143258","7","56"
"9044","6694","143260","3","24"
"9045","6694","301447","5","40"
"9046","6694","143255","7","56"
"9056","11336","156958","7","8"
"9057","11337","156900","7","28"
"9058","11043","187838","6","8"
"9059","11043","187826","6","8"
"9060","11043","187834","6","8"
"9061","11043","187837","6","8"
"9062","11043","187842","6","8"
"9067","11826","157210","7","12"
"9068","11826","157213","5","6"
"9069","11826","157214","5","6"
"9070","11826","157233","5","6"
"9071","10740","188338","3","24"
"9072","10740","188353","1","24"
"9073","10740","188361","1","24"
"9074","10740","188372","1","24"
"9075","10740","188379","1","24"
"9076","10740","188368","1","24"
"9077","8943","157531","7","18"
"9078","8943","157533","7","14"
"9079","8943","157535","7","14"
"9080","8943","157540","7","14"
"9081","8943","157545","7","14"
"9082","8943","157556","7","14"
"9083","8944","157532","7","14"
"9084","9705","157568","3","2.5"
"9085","9705","157557","3","NA"
"9086","9705","157589","3","2.5"
"9087","9705","157571","3","2.5"
"9088","9705","157573","3","2.5"
"9089","9706","157559","3","1.5"
"9179","6278","117093","7","12"
"9180","6278","117092","7","12"
"9181","6278","117094","7","12"
"9182","6278","117095","7","12"
"9183","6278","117096","7","12"
"9184","6278","117098","7","12"
"9185","6278","117097","7","12"
"9186","6278","117099","7","12"
"9187","6278","117100","7","12"
"9188","6278","117101","7","12"
"9189","6278","117102","7","12"
"9190","6278","117103","7","12"
"9191","6278","117105","7","12"
"9192","6278","117106","7","12"
"9193","6278","117107","7","12"
"9194","6278","117109","7","12"
"9195","6278","117110","7","12"
"9196","8282","202191","7","16"
"9197","8282","202035","7","24"
"9198","8282","202061","7","24"
"9199","8851","117130","1","6"
"9200","8851","117129","1","6"
"9201","8851","117134","1","6"
"9202","8851","117135","1","6"
"9203","8851","117136","1","6"
"9204","8851","117137","1","6"
"9205","8851","117141","1","6"
"9206","8851","117140","1","6"
"9207","8851","117143","1","6"
"9208","8851","117142","1","6"
"9209","8851","117144","1","6"
"9210","8851","117146","1","6"
"9211","8851","117145","1","6"
"9212","8851","117147","1","6"
"9213","8851","117149","1","6"
"9214","8851","117151","1","6"
"9215","8851","117150","1","6"
"9216","8851","117152","1","6"
"9217","8851","117153","1","6"
"9218","8851","117154","1","6"
"9219","8851","117155","1","6"
"9220","8851","117157","1","6"
"9221","8851","117158","1","6"
"9222","8851","117159","1","6"
"9223","8851","117161","1","6"
"9224","8851","117160","1","6"
"9225","8851","117162","1","6"
"9226","8851","117167","1","6"
