"agua_prog_id_serial","agua_prog_folio","agua_prog_nom_rasgo","agua_prog_ambito"
"411","15120","PROGRAMA PARA EL DESARROLLO INTEGRAL DE ORGANISMOS OPERADORES DE AGUA (PRODI)","3"
"413","15057","PROSANEAR - PROGRAMA DE SANEAMIENTO DE AGUAS RESIDUALES","3"
"415","15039","FISMDF(2016)","3"
"416","17006","CULTURA DDEL AGUA","3"
"417","17006","PROSAN","3"
"418","17006","PRODI","3"
"419","17006","PROAGUA","3"
"420","17006","MANO CON MANO","1"
"421","12075","RAMO 33","3"
"422","12075","RAMO 26","3"
"442","26019","PLATICAS ESCOLARES","1"
"443","26019","PLATICAS ESCOLARES","2"
"444","26019","PLATICAS ESCOLARES","3"
"445","26019","PLATICAS COMUNITARIAS","1"
"446","26019","PLATICAS COMUNITARIAS","2"
"447","26019","PLATICAS COMUNITARIAS","3"
"448","26019","ESPACIOS MUNICIPALES DEL AGUA","1"
"449","26019","ESPACIOS MUNICIPALES DEL AGUA","2"
"450","26019","ESPACIOS MUNICIPALES DEL AGUA","3"
"451","26042","PROAGUA (APAUR Y APARURAL)","3"
"452","26042","PROSAN","3"
"453","26042","PRODDER","3"
"454","15122","PRODDER","3"
"459","06006","APAUR","3"
"460","06006","APARURAL","3"
"461","06006","AGUA LIMPIA","3"
"462","06006","CULTURA DEL AGUA","3"
"481","15028","CONSTRUCCIÓN DE PLANTA DE TRATAMIENTO DE AGUA EN OCOPULCO","3"
"482","15121","PROGRAMA DE DEVOLUCIÓN DE DERECHOS","3"
"483","15121","PROGRAMA PARA EL DESARROLLO INTEGRAL DE LOS ORGANISMOS OPERADORES DE AGUA","3"
"484","15044","CULTURA DEL AGUA","3"
"485","15037","CULTURA DEL AGUA","3"
"486","15038","AGUA EN PROCESO","1"
"487","15038","SANEAMIENTO LIMPIO","3"
"488","18015","ESPACIO CULTURA DEL AGUA","3"
"489","18015","AGUA LIMPIA","3"
"501","30013","COMITE DE CONTRALORIA CIUDADANA ADELANTE","2"
"503","15035","PRODDER","3"
"505","15029","CULTURA DEL AGUA","3"
"506","15062","PROGAMA DE CULTURA DEL AGUA","3"
"507","12020","AMPLIACION DE LA RED DE DRENAJE Y ALCANTARILLADO","3"
"509","15036","COSECHA DE LLUVIA EN JAGÜEYES","1"
"510","05021","AMPLIACIÓN DE RED DE AGUA POTABLE","2"
"511","05021","AMPLIACIÓN DE RED DE DRENAJE","2"
"512","12048","REHABILITACIÓN DEL SISTEMA DE AGUA POTABLE","3"
"513","12052","PROGRAMA DE AGUA LIMPIA","2"
"521","18004","AGUA LIMPIA (PAL)","3"
"522","18004","CULTURA DEL AGUA (ECA)","3"
"523","15040","CULTURA DEL AGUA","1"
"524","15102","PROAGUA","3"
"525","24008","CONCIENTIZACIÓN DEL USO Y CUIDADO DEL AGUA","1"
"534","23005","RED EDUCADORES AMBIENTALES","1"
"536","23005","CURSOS VERANO, ELABORACIÓN HUERTO, INCLUSIÓN PERSONAS CON CAPACIDADES DIFERENTES (SÍNDROME DOWN) AL PROGRAMA DE EDUCIÓN DEL CUIDADO DEL AGUA.","1"
"537","23006","PLÁTICAS DEL CUIDADO DEL AGUA EN LAS ESCUELAS.","2"
"543","23011","GIRA DEL AGUA Y VISITAS ESCOLARES, PROGRAMA EDUCATIVO PARA ADULTOS","1"
"544","23011","RALLY DEL AGUA Y EVENTOS AMBIENTALES","1"
"547","23011","CURSOS DE VERANO, PATROCINIOS SOCIALES Y DEPORTIVOS, PROYECTOS DE REHUSO Y RECICLAJE","1"
"548","15081","CULTURA DEL AGUA","3"
"549","12059","PROYECTO DE ABASTECIMIENTO DE AGUA EN LA REGIÓN DEL ESTADO DE GUERRERO.","1"
"552","15031","PRODER","3"
"555","18016","CULTURA DEL AGUA","3"
"556","18016","AGUA LIMPIA","3"
"557","25008","PROSSAPYS","3"
"558","25008","APARURAL","3"
"559","25018","APARURAL","3"
"560","25018","PRODI","3"
"561","25018","FAISM","1"
"564","25006","CULTURA DEL AGUA","3"
"565","25012","APARTADO URBANO (APAUR)","3"
"566","25012","PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES","3"
"567","25012","PROYECTOS DE DESARROLLO REGIONAL (PRODERE)","3"
"568","25012","PROYECTOS DE DESARROLLO INTEGRAL PARA ORGANISMOS OPERADORES DE AGUA POTABLE Y SANEAMIENTO (PRODI)","3"
"569","25012","PROGRAMA DE DEVOLUCIÓN DE DERECHOS","3"
"571","02003","PROG. AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO (PROAGUA)","3"
"572","02003","PROGRAMA DE DEVOLUACIÓN DE DERECHOS (PRODDER)","3"
"573","02003","PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES (PROSAN)","3"
"574","02003","PROG. CAPACITACIÓN AMBIENTAL Y DESARROLLO SUSTENTABLE","3"
"575","02003","PROG. DESARROLLO INTEGRAL ORGANISMOS OPERADORES AGUA Y SAN. (PRODI)","3"
"576","15109","PROGRAMA DE DEVOLUCIÓN DE DERECHOS (PRODER)","3"
"577","02004","CULTURA DEL AGUA","3"
"578","02004","DESARROLLO INSTITUCIONAL","2"
"579","02004","MEJORAMIENTO A LA EFICIENCIA FISICA","2"
"580","02004","MEJORAMIENTO A LA EFICIENCIA COMERCIAL","2"
"581","02004","PROGRAMA EN LA INVERSION DE LA INFRAESTRUCTURA","2"
"582","07089","PRODI","3"
"583","07089","PRODDER","3"
"584","07089","PROSANEAR","3"
"601","15003","""AGUAS CON EL AGUA CUIDALA ES DE TODOS""","2"
"602","15054","TELEMETRÍA","3"
"603","15071","FISM (FONDO DE INFRAESTRUCTURA SOCIAL MUNICIPAL)","3"
"604","15074","AGUA LIMPIA","2"
"605","15085","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO (PROAGUA)","3"
"606","15085","APARTADO RURAL (APARURAL)","3"
"607","15085","APARTADO URBANO (APAUR)","3"
"608","15085","PROGRAMA PARA LA CONSTRUCCUION Y REHABILITACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN ZONAS RURALES (PROSSAPYS)","3"
"609","15118","3 PASOS PARA EL CUIDADO DEL AGUA","3"
"611","15118","PLATICAS ESCOLARES DEL CUIDADO DEL AGUA","1"
"612","28037","PRODER","3"
"613","18018","CULTURA DEL AGUA","3"
"614","18018","PROGRAMA DE AGUA LIMPIA","3"
"621","13002","CULTURA DEL AGUA","1"
"623","24016","CULTURA DEL AGUA","3"
"624","24016","AGUA LIMPIA (PROAGUA)","3"
"625","02005","CULTURA DEL AGUA","2"
"626","02005","DESARROLLO INSTITUCIONAL","2"
